fromnode,tonode,c
1,1,0.0
1,8,0.288
1,16,0.759
1,19,0.811
1,24,0.725
1,29,1.622
1,30,1.021
1,33,1.932
1,47,0.954
1,50,2.237
1,60,1.151
1,66,1.371
1,69,1.124
1,70,0.208
1,74,0.141
1,75,0.543
1,77,0.198
1,80,0.91
1,81,2.555
1,91,1.128
8,1,0.288
8,8,0.0
8,16,0.472
8,19,0.551
8,24,0.438
8,29,1.503
8,30,0.91
8,33,1.742
8,47,0.666
8,50,2.106
8,60,0.878
8,66,1.18
8,69,0.846
8,70,0.096
8,74,0.328
8,75,0.255
8,77,0.277
8,80,0.737
8,81,2.444
8,91,0.841
16,1,0.759
16,8,0.472
16,16,0.0
16,19,0.331
16,24,0.095
16,29,1.459
16,30,0.957
16,33,1.539
16,47,0.195
16,50,2.005
16,60,0.506
16,66,1.02
16,69,0.453
16,70,0.555
16,74,0.771
16,75,0.217
16,77,0.717
16,80,0.705
16,81,2.367
16,91,0.369
19,1,0.811
19,8,0.551
19,16,0.331
19,19,0.0
19,24,0.245
19,29,1.128
19,30,0.642
19,33,1.242
19,47,0.38
19,50,1.682
19,60,0.348
19,66,0.702
19,69,0.335
19,70,0.647
19,74,0.877
19,75,0.367
19,77,0.688
19,80,0.384
19,81,2.042
19,91,0.515
24,1,0.725
24,8,0.438
24,16,0.095
24,19,0.245
24,24,0.0
24,29,1.372
24,30,0.863
24,33,1.473
24,47,0.244
24,50,1.927
24,60,0.473
24,66,0.943
24,69,0.428
24,70,0.528
24,74,0.754
24,75,0.188
24,77,0.66
24,80,0.613
24,81,2.287
24,91,0.419
29,1,1.622
29,8,1.503
29,16,1.459
29,19,1.128
29,24,1.372
29,29,0.0
29,30,0.602
29,33,0.555
29,47,1.46
29,50,0.616
29,60,1.127
29,66,0.5
29,69,1.186
29,70,1.575
29,74,1.75
29,75,1.447
29,77,1.425
29,80,0.781
29,81,0.941
29,91,1.52
30,1,1.021
30,8,0.91
30,16,0.957
30,19,0.642
30,24,0.863
30,29,0.602
30,30,0.0
30,33,0.973
30,47,1.018
30,50,1.216
30,60,0.807
30,66,0.474
30,69,0.844
30,70,0.978
30,74,1.148
30,75,0.892
30,77,0.825
30,80,0.26
30,81,1.54
30,91,1.132
33,1,1.932
33,8,1.742
33,16,1.539
33,19,1.242
33,24,1.473
33,29,0.555
33,30,0.973
33,33,0.0
33,47,1.467
33,50,0.583
33,60,1.076
33,66,0.563
33,69,1.14
33,70,1.83
33,74,2.04
33,75,1.607
33,77,1.749
33,80,1.022
33,81,0.938
33,91,1.46
47,1,0.954
47,8,0.666
47,16,0.195
47,19,0.38
47,24,0.244
47,29,1.46
47,30,1.018
47,33,1.467
47,47,0.0
47,50,1.97
47,60,0.394
47,66,0.988
47,69,0.331
47,70,0.749
47,74,0.965
47,75,0.411
47,77,0.903
47,80,0.759
47,81,2.337
47,91,0.176
50,1,2.237
50,8,2.106
50,16,2.005
50,19,1.682
50,24,1.927
50,29,0.616
50,30,1.216
50,33,0.583
50,47,1.97
50,50,0.0
50,60,1.594
50,66,0.986
50,69,1.658
50,70,2.183
50,74,2.363
50,75,2.026
50,77,2.04
50,80,1.372
50,81,0.369
50,91,1.991
60,1,1.151
60,8,0.878
60,16,0.506
