fromnode,tonode,c
4,4,0.0
4,6,0.812
4,7,1.969
4,9,0.449
4,11,0.749
4,12,0.134
4,19,0.106
4,27,0.707
4,41,0.154
4,46,0.341
4,50,1.749
4,64,0.755
4,68,0.4
4,74,0.903
4,83,0.875
6,4,0.812
6,6,0.0
6,7,1.288
6,9,0.391
6,11,1.458
6,12,0.681
6,19,0.798
6,27,0.187
6,41,0.956
6,46,0.472
6,50,1.085
6,64,1.511
6,68,0.994
6,74,1.66
6,83,0.07
7,4,1.969
7,6,1.288
7,7,0.0
7,9,1.649
7,11,2.346
7,12,1.84
7,19,1.905
7,27,1.296
7,41,2.074
7,46,1.674
7,50,0.223
7,64,2.457
7,68,2.253
7,74,2.582
7,83,1.266
9,4,0.449
9,6,0.391
9,7,1.649
9,9,0.0
9,11,1.164
9,12,0.332
9,19,0.465
9,27,0.358
9,41,0.601
9,46,0.138
9,50,1.437
9,64,1.192
9,68,0.608
9,74,1.341
9,83,0.444
11,4,0.749
11,6,1.458
11,7,2.346
11,9,1.164
11,11,0.0
11,12,0.837
11,19,0.702
11,27,1.299
11,41,0.606
11,46,1.032
11,50,2.128
11,64,0.145
11,68,0.992
11,74,0.236
11,83,1.528
12,4,0.134
12,6,0.681
12,7,1.84
12,9,0.332
12,11,0.837
12,12,0.0
12,19,0.135
12,27,0.573
12,41,0.276
12,46,0.212
12,50,1.618
12,64,0.86
12,68,0.475
12,74,1.009
12,83,0.745
19,4,0.106
19,6,0.798
19,7,1.905
19,9,0.465
19,11,0.702
19,12,0.135
19,19,0.0
19,27,0.672
19,41,0.17
19,46,0.338
19,50,1.682
19,64,0.728
19,68,0.505
19,74,0.877
19,83,0.863
27,4,0.707
27,6,0.187
27,7,1.296
27,9,0.358
27,11,1.299
27,12,0.573
27,19,0.672
27,27,0.0
27,41,0.839
27,46,0.383
27,50,1.081
27,64,1.363
27,68,0.957
27,74,1.51
27,83,0.253
41,4,0.154
41,6,0.956
41,7,2.074
41,9,0.601
41,11,0.606
41,12,0.276
41,19,0.17
41,27,0.839
41,41,0.0
41,46,0.487
41,50,1.85
41,64,0.603
41,68,0.445
41,74,0.751
41,83,1.02
46,4,0.341
46,6,0.472
46,7,1.674
46,9,0.138
46,11,1.032
46,12,0.212
46,19,0.338
46,27,0.383
46,41,0.487
46,46,0.0
46,50,1.455
46,64,1.065
46,68,0.585
46,74,1.215
46,83,0.534
50,4,1.749
50,6,1.085
50,7,0.223
50,9,1.437
50,11,2.128
50,12,1.618
50,19,1.682
50,27,1.081
50,41,1.85
50,46,1.455
50,50,0.0
50,64,2.237
50,68,2.037
50,74,2.363
50,83,1.069
64,4,0.755
64,6,1.511
64,7,2.457
64,9,1.192
64,11,0.145
64,12,0.86
64,19,0.728
64,27,1.363
64,41,0.603
64,46,1.065
64,50,2.237
64,64,0.0
64,68,0.941
64,74,0.15
64,83,1.58
68,4,0.4
68,6,0.994
68,7,2.253
68,9,0.608
68,11,0.992
68,12,0.475
68,19,0.505
68,27,0.957
68,41,0.445
68,46,0.585
68,50,2.037
68,64,0.941
68,68,0.0
68,74,1.069
68,83,1.04
74,4,0.903
74,6,1.66
74,7,2.582
74,9,1.341
74,11,0.236
74,12,1.009
74,19,0.877
74,27,1.51
74,41,0.751
74,46,1.215
74,50,2.363
74,64,0.15
74,68,1.069
74,74,0.0
74,83,1.728
83,4,0.875
83,6,0.07
83,7,1.266
83,9,0.444
83,11,1.528
83,12,0.745
83,19,0.863
83,27,0.253
83,41,1.02
83,46,0.534
83,50,1.069
83,64,1.58
83,68,1.04
83,74,1.728
83,83,0.0
