fromnode,tonode,c
7,7,0.0
7,10,1.502
7,11,2.346
7,21,1.901
7,32,1.596
7,39,1.859
7,46,1.674
7,77,2.257
7,85,0.247
7,94,1.299
10,7,1.502
10,10,0.0
10,11,1.312
10,21,0.823
10,32,1.169
10,39,1.008
10,46,0.285
10,77,1.281
10,85,1.712
10,94,0.443
11,7,2.346
11,10,1.312
11,11,0.0
11,21,0.506
11,32,0.861
11,39,0.49
11,46,1.032
11,77,0.107
11,85,2.454
11,94,1.144
21,7,1.901
21,10,0.823
21,11,0.506
21,21,0.0
21,32,0.659
21,39,0.268
21,46,0.555
21,77,0.461
21,85,2.036
21,94,0.646
32,7,1.596
32,10,1.169
32,11,0.861
32,21,0.659
32,32,0.0
32,39,0.426
32,46,1.009
32,77,0.755
32,85,1.658
32,94,0.76
39,7,1.859
39,10,1.008
39,11,0.49
39,21,0.268
39,32,0.426
39,39,0.0
39,46,0.77
39,77,0.398
39,85,1.964
39,94,0.72
46,7,1.674
46,10,0.285
46,11,1.032
46,21,0.555
46,32,1.009
46,39,0.77
46,46,0.0
46,77,1.007
46,85,1.862
46,94,0.427
77,7,2.257
77,10,1.281
77,11,0.107
77,21,0.461
77,32,0.755
77,39,0.398
77,46,1.007
77,77,0.0
77,85,2.36
77,94,1.08
85,7,0.247
85,10,1.712
85,11,2.454
85,21,2.036
85,32,1.658
85,39,1.964
85,46,1.862
85,77,2.36
85,85,0.0
85,94,1.467
94,7,1.299
94,10,0.443
94,11,1.144
94,21,0.646
94,32,0.76
94,39,0.72
94,46,0.427
94,77,1.08
94,85,1.467
94,94,0.0
