fromnode,tonode,c
0,0,0.0
0,3,0.315
0,8,0.28
0,12,0.585
0,13,0.549
0,15,0.197
0,17,0.176
0,26,1.286
0,29,1.236
0,32,0.674
0,34,0.104
0,40,0.343
0,48,0.708
0,49,0.378
0,55,0.434
0,57,1.044
0,60,0.801
0,62,0.435
0,63,0.901
0,72,0.07
0,75,0.376
0,77,0.247
0,83,1.239
0,92,0.131
0,97,0.984
3,0,0.315
3,3,0.0
3,8,0.121
3,12,0.792
3,13,0.258
3,15,0.232
3,17,0.364
3,26,1.537
3,29,1.551
3,32,0.938
3,34,0.265
3,40,0.398
3,48,1.021
3,49,0.572
3,55,0.736
3,57,1.061
3,60,0.993
3,62,0.685
3,63,1.111
3,72,0.253
3,75,0.376
3,77,0.206
3,83,1.507
3,92,0.441
3,97,0.999
8,0,0.28
8,3,0.121
8,8,0.0
8,12,0.682
8,13,0.37
8,15,0.281
8,17,0.272
8,26,1.432
8,29,1.503
8,32,0.945
8,34,0.272
8,40,0.278
8,48,0.961
8,49,0.464
8,55,0.714
8,57,0.946
8,60,0.878
8,62,0.587
8,63,0.998
8,72,0.21
8,75,0.255
8,77,0.277
8,83,1.407
8,92,0.411
8,97,0.883
12,0,0.585
12,3,0.792
12,8,0.682
12,12,0.0
12,13,1.05
12,15,0.779
12,17,0.44
12,26,0.754
12,29,1.091
12,32,0.96
12,34,0.688
12,40,0.424
12,48,0.581
12,49,0.221
12,55,0.675
12,57,0.661
12,60,0.216
12,62,0.177
12,63,0.321
12,72,0.598
12,75,0.481
12,77,0.822
12,83,0.745
12,92,0.577
12,97,0.619
13,0,0.549
13,3,0.258
13,8,0.37
13,12,1.05
13,13,0.0
13,15,0.396
13,17,0.622
13,26,1.795
13,29,1.766
13,32,1.086
13,34,0.471
13,40,0.645
13,48,1.254
13,49,0.83
13,55,0.932
13,57,1.258
13,60,1.248
13,62,0.942
13,63,1.367
13,72,0.496
13,75,0.612
13,77,0.343
13,83,1.764
13,92,0.661
13,97,1.197
15,0,0.197
15,3,0.232
15,8,0.281
15,12,0.779
15,13,0.396
15,15,0.0
15,17,0.349
15,26,1.482
15,29,1.371
15,32,0.712
15,34,0.095
15,40,0.477
15,48,0.868
15,49,0.566
15,55,0.537
15,57,1.185
15,60,0.994
15,62,0.633
15,63,1.097
15,72,0.186
15,75,0.487
15,77,0.055
15,83,1.432
15,92,0.276
15,97,1.123
17,0,0.176
17,3,0.364
17,8,0.272
17,12,0.44
17,13,0.622
17,15,0.349
17,17,0.0
17,26,1.174
17,29,1.252
17,32,0.795
17,34,0.266
17,40,0.182
17,48,0.703
17,49,0.221
17,55,0.522
17,57,0.87
17,60,0.651
17,62,0.32
17,63,0.761
17,72,0.164
17,75,0.232
17,77,0.387
17,83,1.142
17,92,0.251
17,97,0.81
26,0,1.286
26,3,1.537
26,8,1.432
26,12,0.754
26,13,1.795
26,15,1.482
26,17,1.174
26,26,0.0
26,29,0.928
26,32,1.346
26,34,1.388
26,40,1.178
26,48,0.8
26,49,0.967
26,55,1.154
26,57,1.072
26,60,0.594
26,62,0.857
26,63,0.465
26,72,1.318
26,75,1.232
26,77,1.532
26,83,0.135
26,92,1.228
26,97,1.073
29,0,1.236
29,3,1.551
29,8,1.503
