fromnode,tonode,c
4,4,0.0
4,7,1.969
4,10,0.619
4,11,0.749
4,20,0.597
4,21,0.373
4,27,0.707
4,32,0.998
4,39,0.64
4,46,0.341
4,50,1.749
4,55,0.707
4,65,0.516
4,74,0.903
4,77,0.749
4,81,2.11
4,85,2.141
4,87,0.552
4,92,0.549
4,94,0.674
7,4,1.969
7,7,0.0
7,10,1.502
7,11,2.346
7,20,1.739
7,21,1.901
7,27,1.296
7,32,1.596
7,39,1.859
7,46,1.674
7,50,0.223
7,55,1.669
7,65,2.378
7,74,2.582
7,77,2.257
7,81,0.171
7,85,0.247
7,87,1.46
7,92,1.943
7,94,1.299
10,4,0.619
10,7,1.502
10,10,0.0
10,11,1.312
10,20,0.893
10,21,0.823
10,27,0.251
10,32,1.169
10,39,1.008
10,46,0.285
10,50,1.295
10,55,0.946
10,65,1.133
10,74,1.499
10,77,1.281
10,81,1.662
10,85,1.712
10,87,0.172
10,92,0.985
10,94,0.443
11,4,0.749
11,7,2.346
11,10,1.312
11,11,0.0
11,20,0.607
11,21,0.506
11,27,1.299
11,32,0.861
11,39,0.49
11,46,1.032
11,50,2.128
11,55,0.683
11,65,0.366
11,74,0.236
11,77,0.107
11,81,2.449
11,85,2.454
11,87,1.188
11,92,0.406
11,94,1.144
20,4,0.597
20,7,1.739
20,10,0.893
20,11,0.607
20,20,0.0
20,21,0.254
20,27,0.79
20,32,0.407
20,39,0.134
20,46,0.672
20,50,1.521
20,55,0.118
20,65,0.707
20,74,0.843
20,77,0.522
20,81,1.845
20,85,1.853
20,87,0.731
20,92,0.206
20,94,0.587
21,4,0.373
21,7,1.901
21,10,0.823
21,11,0.506
21,20,0.254
21,21,0.0
21,27,0.793
21,32,0.659
21,39,0.268
21,46,0.555
21,50,1.678
21,55,0.373
21,65,0.485
21,74,0.722
21,77,0.461
21,81,2.021
21,85,2.036
21,87,0.687
21,92,0.181
21,94,0.646
27,4,0.707
27,7,1.296
27,10,0.251
27,11,1.299
27,20,0.79
27,21,0.793
27,27,0.0
27,32,0.994
27,39,0.918
27,46,0.383
27,50,1.081
27,55,0.813
27,65,1.19
27,74,1.51
27,77,1.249
27,81,1.449
27,85,1.493
27,87,0.164
27,92,0.927
27,94,0.234
32,4,0.998
32,7,1.596
32,10,1.169
32,11,0.861
32,20,0.407
32,21,0.659
32,27,0.994
32,32,0.0
32,39,0.426
32,46,1.009
32,50,1.397
32,55,0.291
32,65,1.069
32,74,1.085
32,77,0.755
32,81,1.669
32,85,1.658
32,87,0.997
32,92,0.552
32,94,0.76
39,4,0.64
39,7,1.859
39,10,1.008
39,11,0.49
39,20,0.134
39,21,0.268
39,27,0.918
39,32,0.426
39,39,0.0
39,46,0.77
39,50,1.642
39,55,0.194
39,65,0.644
39,74,0.726
39,77,0.398
39,81,1.96
39,85,1.964
39,87,0.85
39,92,0.125
39,94,0.72
46,4,0.341
46,7,1.674
46,10,0.285
46,11,1.032
46,20,0.672
46,21,0.555
46,27,0.383
46,32,1.009
46,39,0.77
46,46,0.0
46,50,1.455
46,55,0.748
46,65,0.851
46,74,1.215
46,77,1.007
46,81,1.823
46,85,1.862
46,87,0.22
46,92,0.728
46,94,0.427
50,4,1.749
50,7,0.223
50,10,1.295
50,11,2.128
50,20,1.521
50,21,1.678
50,27,1.081
50,32,1.397
50,39,1.642
50,46,1.455
50,50,0.0
50,55,1.454
50,65,2.154
50,74,2.363
50,77,2.04
50,81,0.369
50,85,0.419
50,87,1.243
50,92,1.724
50,94,1.076
55,4,0.707
55,7,1.669
55,10,0.946
55,11,0.683
55,20,0.118
55,21,0.373
55,27,0.813
55,32,0.291
55,39,0.194
55,46,0.748
55,50,1.454
55,55,0.0
55,65,0.818
55,74,0.919
55,77,0.589
55,81,1.768
55,85,1.771
55,87,0.777
55,92,0.303
55,94,0.593
65,4,0.516
65,7,2.378
65,10,1.133
65,11,0.366
65,20,0.707
65,21,0.485
65,27,1.19
65,32,1.069
65,39,0.644
65,46,0.851
65,50,2.154
65,55,0.818
65,65,0.0
65,74,0.42
65,77,0.437
65,81,2.502
65,85,2.52
65,87,1.048
