fromnode,tonode,c
0,0,0.0
0,5,0.522
0,10,1.035
0,17,0.176
0,21,0.214
0,23,1.242
0,34,0.104
0,42,0.249
0,43,0.46
0,47,0.724
0,48,0.708
0,59,0.657
0,64,0.391
0,70,0.341
0,77,0.247
0,78,0.405
0,86,2.055
0,89,1.832
0,90,0.314
0,93,1.74
5,0,0.522
5,5,0.0
5,10,0.748
5,17,0.346
5,21,0.42
5,23,1.323
5,34,0.609
5,42,0.551
5,43,0.779
5,47,0.204
5,48,0.808
5,59,0.996
5,64,0.673
5,70,0.589
5,77,0.712
5,78,0.723
5,86,2.306
5,89,2.091
5,90,0.743
5,93,1.685
10,0,1.035
10,5,0.748
10,10,0.0
10,17,0.917
10,21,0.823
10,23,0.862
10,34,1.137
10,42,1.201
10,43,1.447
10,47,0.741
10,48,0.633
10,59,1.031
10,64,1.349
10,70,1.269
10,77,1.281
10,78,0.89
10,86,1.93
10,89,1.747
10,90,1.343
10,93,1.014
17,0,0.176
17,5,0.346
17,10,0.917
17,17,0.0
17,21,0.173
17,23,1.248
17,34,0.266
17,42,0.286
17,43,0.532
17,47,0.548
17,48,0.703
17,59,0.75
17,64,0.438
17,70,0.363
17,77,0.387
17,78,0.476
17,86,2.131
17,89,1.91
17,90,0.436
17,93,1.707
21,0,0.214
21,5,0.42
21,10,0.823
21,17,0.173
21,21,0.0
21,23,1.078
21,34,0.315
21,42,0.427
21,43,0.661
21,47,0.619
21,48,0.533
21,59,0.596
21,64,0.579
21,70,0.513
21,77,0.461
21,78,0.324
21,86,1.964
21,89,1.743
21,90,0.527
21,93,1.549
23,0,1.242
23,5,1.323
23,10,0.862
23,17,1.248
23,21,1.078
23,23,0.0
23,34,1.308
23,42,1.488
23,43,1.694
23,47,1.431
23,48,0.545
23,59,0.725
23,64,1.633
23,70,1.579
23,77,1.439
23,78,0.89
23,86,1.068
23,89,0.886
23,90,1.518
23,93,0.579
34,0,0.104
34,5,0.609
34,10,1.137
34,17,0.266
34,21,0.315
34,23,1.308
34,34,0.0
34,42,0.218
34,43,0.386
34,47,0.808
34,48,0.784
34,59,0.683
34,64,0.335
34,70,0.304
34,77,0.147
34,78,0.461
34,86,2.079
34,89,1.856
34,90,0.22
34,93,1.821
42,0,0.249
42,5,0.551
42,10,1.201
42,17,0.286
42,21,0.427
42,23,1.488
42,34,0.218
42,42,0.0
42,43,0.246
42,47,0.727
42,48,0.95
42,59,0.896
42,64,0.154
42,70,0.092
42,77,0.206
42,78,0.654
42,86,2.294
42,89,2.071
42,90,0.204
42,93,1.975
43,0,0.46
43,5,0.779
43,10,1.447
43,17,0.532
43,21,0.661
43,23,1.694
43,34,0.386
43,42,0.246
43,43,0.0
43,47,0.937
43,48,1.166
43,59,1.05
43,64,0.107
43,70,0.19
43,77,0.267
43,78,0.843
43,86,2.431
43,89,2.209
43,90,0.192
43,93,2.201
47,0,0.724
47,5,0.204
47,10,0.741
47,17,0.548
47,21,0.619
47,23,1.431
47,34,0.808
47,42,0.727
47,43,0.937
47,47,0.0
47,48,0.948
47,59,1.18
47,64,0.831
47,70,0.749
47,77,0.903
47,78,0.93
47,86,2.449
47,89,2.237
47,90,0.927
47,93,1.733
48,0,0.708
48,5,0.808
48,10,0.633
48,17,0.703
48,21,0.533
48,23,0.545
48,34,0.784
48,42,0.95
48,43,1.166
48,47,0.948
48,48,0.0
48,59,0.404
