fromnode,tonode,c
6,6,0.0
6,9,0.391
6,12,0.681
6,19,0.798
6,41,0.956
6,46,0.472
6,50,1.085
6,68,0.994
6,74,1.66
6,83,0.07
9,6,0.391
9,9,0.0
9,12,0.332
9,19,0.465
9,41,0.601
9,46,0.138
9,50,1.437
9,68,0.608
9,74,1.341
9,83,0.444
12,6,0.681
12,9,0.332
12,12,0.0
12,19,0.135
12,41,0.276
12,46,0.212
12,50,1.618
12,68,0.475
12,74,1.009
12,83,0.745
19,6,0.798
19,9,0.465
19,12,0.135
19,19,0.0
19,41,0.17
19,46,0.338
19,50,1.682
19,68,0.505
19,74,0.877
19,83,0.863
41,6,0.956
41,9,0.601
41,12,0.276
41,19,0.17
41,41,0.0
41,46,0.487
41,50,1.85
41,68,0.445
41,74,0.751
41,83,1.02
46,6,0.472
46,9,0.138
46,12,0.212
46,19,0.338
46,41,0.487
46,46,0.0
46,50,1.455
46,68,0.585
46,74,1.215
46,83,0.534
50,6,1.085
50,9,1.437
50,12,1.618
50,19,1.682
50,41,1.85
50,46,1.455
50,50,0.0
50,68,2.037
50,74,2.363
50,83,1.069
68,6,0.994
68,9,0.608
68,12,0.475
68,19,0.505
68,41,0.445
68,46,0.585
68,50,2.037
68,68,0.0
68,74,1.069
68,83,1.04
74,6,1.66
74,9,1.341
74,12,1.009
74,19,0.877
74,41,0.751
74,46,1.215
74,50,2.363
74,68,1.069
74,74,0.0
74,83,1.728
83,6,0.07
83,9,0.444
83,12,0.745
83,19,0.863
83,41,1.02
83,46,0.534
83,50,1.069
83,68,1.04
83,74,1.728
83,83,0.0
