fromnode,tonode,clientID,a,budget,clientRatio
6,9,0,2,3.82,1.91
6,9,1,11,20.43,1.8572727272727272
6,9,2,19,35.28,1.8568421052631578
6,9,3,2,3.57,1.785
6,9,4,3,4.86,1.62
6,9,5,13,16.9,1.2999999999999998
6,9,6,19,24.27,1.2773684210526315
6,9,7,8,10.09,1.26125
6,9,8,19,22.37,1.1773684210526316
6,9,9,2,2.25,1.125
6,9,10,5,5.46,1.092
6,9,11,14,12.08,0.8628571428571429
6,9,12,4,3.06,0.765
6,9,13,19,12.49,0.6573684210526316
6,9,14,5,3.11,0.622
6,9,15,19,5.9,0.3105263157894737
6,9,16,6,1.63,0.27166666666666667
6,9,17,8,1.99,0.24875
6,9,18,14,2.65,0.18928571428571428
6,9,19,7,1.04,0.14857142857142858
6,12,0,19,52.08,2.741052631578947
6,12,1,8,21.86,2.7325
6,12,2,19,51.6,2.7157894736842105
6,12,3,3,7.91,2.6366666666666667
6,12,4,11,27.73,2.520909090909091
6,12,5,10,21.27,2.127
6,12,6,12,24.95,2.0791666666666666
6,12,7,3,5.94,1.9800000000000002
6,12,8,10,18.53,1.8530000000000002
6,12,9,11,18.24,1.658181818181818
6,12,10,18,27.61,1.5338888888888889
6,12,11,16,24.23,1.514375
6,12,12,15,19.77,1.318
6,12,13,11,13.73,1.2481818181818183
6,12,14,20,16.19,0.8095000000000001
6,12,15,14,9.46,0.6757142857142858
6,12,16,11,6.96,0.6327272727272727
6,12,17,3,1.57,0.5233333333333333
6,12,18,12,5.46,0.455
6,12,19,8,3.23,0.40375
6,19,0,13,49.77,3.828461538461539
6,19,1,13,46.25,3.5576923076923075
6,19,2,9,31.89,3.5433333333333334
6,19,3,14,48.57,3.4692857142857143
6,19,4,3,10.13,3.376666666666667
6,19,5,9,25.79,2.8655555555555554
6,19,6,12,33.3,2.775
6,19,7,10,26.38,2.638
6,19,8,9,17.78,1.9755555555555557
6,19,9,15,25.47,1.698
6,19,10,8,13.47,1.68375
6,19,11,15,22.82,1.5213333333333334
6,19,12,15,18.75,1.25
6,19,13,2,1.99,0.995
6,19,14,10,6.55,0.655
6,19,15,20,12.16,0.608
6,19,16,5,2.39,0.47800000000000004
6,19,17,16,7.49,0.468125
6,19,18,3,1.18,0.3933333333333333
6,19,19,12,2.95,0.24583333333333335
6,41,0,17,77.38,4.551764705882353
6,41,1,4,18.18,4.545
6,41,2,5,16.8,3.3600000000000003
6,41,3,16,49.63,3.101875
6,41,4,7,21.06,3.0085714285714285
6,41,5,20,55.8,2.79
6,41,6,14,37.02,2.6442857142857146
6,41,7,2,4.57,2.285
6,41,8,7,15.49,2.212857142857143
6,41,9,13,26.0,2.0
6,41,10,18,35.85,1.9916666666666667
6,41,11,4,7.01,1.7525
6,41,12,5,6.28,1.256
6,41,13,2,2.13,1.065
6,41,14,19,19.53,1.0278947368421054
6,41,15,19,16.82,0.8852631578947369
6,41,16,2,1.32,0.66
6,41,17,20,6.16,0.308
6,41,18,8,1.97,0.24625
6,41,19,10,2.1,0.21000000000000002
6,46,0,16,37.51,2.344375
6,46,1,7,15.74,2.2485714285714287
6,46,2,18,38.98,2.1655555555555552
6,46,3,7,13.44,1.92
6,46,4,4,7.17,1.7925
6,46,5,3,5.02,1.6733333333333331
6,46,6,5,7.66,1.532
6,46,7,8,11.87,1.48375
