fromnode,tonode,c
2,2,0.0
2,3,1.738
2,7,0.704
2,8,1.67
2,11,1.719
2,13,1.973
2,19,1.211
2,22,1.415
2,27,0.594
2,28,1.272
2,30,0.832
2,33,0.223
2,35,1.079
2,37,1.234
2,38,0.745
2,46,0.969
2,50,0.487
2,51,1.238
2,61,0.978
2,66,0.509
2,68,1.55
2,70,1.753
2,78,1.13
2,92,1.314
2,97,1.671
3,2,1.738
3,3,0.0
3,7,2.381
3,8,0.121
3,11,0.12
3,13,0.258
3,19,0.659
3,22,0.335
3,27,1.288
3,28,0.466
3,30,0.952
3,33,1.822
3,35,0.672
3,37,0.511
3,38,2.383
3,46,0.995
3,50,2.161
3,51,0.523
3,61,0.788
3,66,1.259
3,68,0.903
3,70,0.055
3,78,0.717
3,92,0.441
3,97,0.999
7,2,0.704
7,3,2.381
7,7,0.0
7,8,2.328
7,11,2.346
7,13,2.599
7,19,1.905
7,22,2.048
7,27,1.296
7,28,1.922
7,30,1.434
7,33,0.771
7,35,1.75
7,37,1.87
7,38,0.1
7,46,1.674
7,50,0.223
7,51,1.897
7,61,1.595
7,66,1.208
7,68,2.253
7,70,2.404
7,78,1.7
7,92,1.943
7,97,2.38
8,2,1.67
8,3,0.121
8,7,2.328
8,8,0.0
8,11,0.212
8,13,0.37
8,19,0.551
8,22,0.312
8,27,1.196
8,28,0.406
8,30,0.91
8,33,1.742
8,35,0.593
8,37,0.468
8,38,2.334
8,46,0.888
8,50,2.106
8,51,0.436
8,61,0.747
8,66,1.18
8,68,0.783
8,70,0.096
8,78,0.683
8,92,0.411
8,97,0.883
11,2,1.719
11,3,0.12
11,7,2.346
11,8,0.212
11,11,0.0
11,13,0.255
11,19,0.702
11,22,0.304
11,27,1.299
11,28,0.459
11,30,0.912
11,33,1.816
11,35,0.676
11,37,0.485
11,38,2.342
11,46,1.032
11,50,2.128
11,51,0.54
11,61,0.751
11,66,1.254
11,68,0.992
11,70,0.165
11,78,0.677
11,92,0.406
11,97,1.095
13,2,1.973
13,3,0.258
13,7,2.599
13,8,0.37
13,11,0.255
13,13,0.0
13,19,0.917
13,22,0.558
13,27,1.543
13,28,0.709
13,30,1.165
13,33,2.068
13,35,0.922
13,37,0.739
13,38,2.593
13,46,1.254
13,50,2.381
13,51,0.778
13,61,1.005
13,66,1.505
13,68,1.118
13,70,0.274
13,78,0.925
13,92,0.661
13,97,1.197
19,2,1.211
19,3,0.659
19,7,1.905
19,8,0.551
19,11,0.702
19,13,0.917
19,19,0.0
19,22,0.481
19,27,0.672
19,28,0.339
19,30,0.642
19,33,1.242
19,35,0.244
19,37,0.41
19,38,1.929
19,46,0.338
19,50,1.682
19,51,0.21
19,61,0.528
19,66,0.702
19,68,0.505
19,70,0.647
19,78,0.562
19,92,0.458
19,97,0.65
22,2,1.415
22,3,0.335
22,7,2.048
22,8,0.312
22,11,0.304
22,13,0.558
22,19,0.481
22,22,0.0
22,27,1.01
22,28,0.168
22,30,0.617
22,33,1.514
22,35,0.387
22,37,0.181
22,38,2.048
22,46,0.78
22,50,1.829
22,51,0.28
22,61,0.454
22,66,0.954
22,68,0.895
22,70,0.365
22,78,0.381
22,92,0.106
22,97,1.023
27,2,0.594
27,3,1.288
27,7,1.296
27,8,1.196
27,11,1.299
27,13,1.543
27,19,0.672
27,22,1.01
27,27,0.0
27,28,0.844
27,30,0.621
27,33,0.576
27,35,0.624
27,37,0.844
27,38,1.338
27,46,0.383
27,50,1.081
27,51,0.765
27,61,0.682
27,66,0.185
27,68,0.957
27,70,1.289
27,78,0.765
27,92,0.927
27,97,1.077
28,2,1.272
28,3,0.466
28,7,1.922
28,8,0.406
28,11,0.459
28,13,0.709
28,19,0.339
28,22,0.168
28,27,0.844
28,28,0.0
28,30,0.509
28,33,1.359
28,35,0.22
28,37,0.095
28,38,1.928
28,46,0.617
28,50,1.701
28,51,0.13
28,61,0.348
28,66,0.796
28,68,0.803
28,70,0.483
28,78,0.3
28,92,0.119
28,97,0.941
30,2,0.832
30,3,0.952
