fromnode,tonode,clientID,a,budget,clientRatio
6,9,0,2,3.82,1.91
6,9,1,11,20.43,1.8572727272727272
6,9,2,19,35.28,1.8568421052631578
6,9,3,2,3.57,1.785
6,9,4,13,22.66,1.7430769230769232
6,9,5,3,4.96,1.6533333333333333
6,9,6,3,4.86,1.62
6,9,7,19,29.9,1.5736842105263158
6,9,8,8,12.55,1.56875
6,9,9,19,29.62,1.5589473684210526
6,9,10,3,4.54,1.5133333333333334
6,9,11,11,15.92,1.4472727272727273
6,9,12,13,16.9,1.2999999999999998
6,9,13,10,12.93,1.293
6,9,14,19,24.27,1.2773684210526315
6,9,15,8,10.09,1.26125
6,9,16,10,12.21,1.221
6,9,17,12,14.32,1.1933333333333334
6,9,18,19,22.37,1.1773684210526316
6,9,19,3,3.41,1.1366666666666667
6,9,20,2,2.25,1.125
6,9,21,5,5.46,1.092
6,9,22,10,10.64,1.064
6,9,23,9,8.71,0.9677777777777778
6,9,24,11,10.47,0.9518181818181819
6,9,25,18,15.85,0.8805555555555555
6,9,26,16,13.91,0.869375
6,9,27,14,12.08,0.8628571428571429
6,9,28,4,3.06,0.765
6,9,29,15,11.35,0.7566666666666666
6,9,30,15,11.18,0.7453333333333333
6,9,31,11,7.88,0.7163636363636363
6,9,32,19,12.49,0.6573684210526316
6,9,33,5,3.11,0.622
6,9,34,15,9.18,0.612
6,9,35,2,0.98,0.49
6,9,36,20,9.29,0.46449999999999997
6,9,37,14,5.43,0.38785714285714284
6,9,38,11,4.0,0.36363636363636365
6,9,39,19,5.9,0.3105263157894737
6,9,40,3,0.9,0.3
6,9,41,20,5.96,0.298
6,9,42,6,1.63,0.27166666666666667
6,9,43,12,3.13,0.2608333333333333
6,9,44,8,1.99,0.24875
6,9,45,8,1.85,0.23125
6,9,46,3,0.58,0.19333333333333333
6,9,47,14,2.65,0.18928571428571428
6,9,48,7,1.04,0.14857142857142858
6,9,49,12,1.45,0.12083333333333333
6,12,0,16,54.12,3.3825
6,12,1,13,42.47,3.266923076923077
6,12,2,7,22.71,3.244285714285714
6,12,3,17,55.12,3.2423529411764704
6,12,4,4,12.95,3.2375
6,12,5,18,56.24,3.1244444444444444
6,12,6,9,27.21,3.0233333333333334
6,12,7,14,41.45,2.960714285714286
6,12,8,7,19.4,2.7714285714285714
6,12,9,4,10.35,2.5875
6,12,10,9,22.01,2.445555555555556
6,12,11,3,7.24,2.4133333333333336
6,12,12,5,11.97,2.394
6,12,13,12,28.41,2.3675
6,12,14,5,11.05,2.21
6,12,15,16,35.35,2.209375
6,12,16,7,15.0,2.142857142857143
6,12,17,8,17.13,2.14125
6,12,18,12,25.26,2.105
6,12,19,20,39.75,1.9875
6,12,20,14,26.37,1.8835714285714287
6,12,21,8,15.02,1.8775
6,12,22,9,16.48,1.8311111111111111
6,12,23,6,10.94,1.8233333333333333
6,12,24,15,25.6,1.7066666666666668
6,12,25,9,15.31,1.7011111111111112
6,12,26,2,3.26,1.63
6,12,27,7,11.04,1.577142857142857
6,12,28,15,21.74,1.4493333333333331
6,12,29,8,11.49,1.43625
6,12,30,13,18.52,1.4246153846153846
6,12,31,18,25.54,1.4188888888888889
6,12,32,17,22.42,1.3188235294117647
6,12,33,6,7.79,1.2983333333333333
6,12,34,4,4.99,1.2475
6,12,35,17,20.63,1.2135294117647057
6,12,36,17,18.88,1.1105882352941177
