fromnode,tonode,clientID,a,budget,clientRatio
0,4,0,13,33.73,2.5946153846153845
0,4,1,17,43.95,2.585294117647059
0,4,2,10,25.84,2.584
0,4,3,17,43.86,2.58
0,4,4,13,33.5,2.576923076923077
0,4,5,6,15.42,2.57
0,4,6,6,15.4,2.566666666666667
0,4,7,5,12.53,2.506
0,4,8,14,34.86,2.4899999999999998
0,4,9,6,14.88,2.48
0,4,10,16,39.34,2.45875
0,4,11,14,34.37,2.4549999999999996
0,4,12,8,19.63,2.45375
0,4,13,16,39.04,2.44
0,4,14,2,4.87,2.435
0,4,15,14,33.79,2.4135714285714287
0,4,16,7,16.86,2.4085714285714284
0,4,17,9,21.66,2.4066666666666667
0,4,18,3,7.1,2.3666666666666667
0,4,19,11,25.84,2.349090909090909
0,4,20,15,34.65,2.31
0,4,21,11,25.0,2.272727272727273
0,4,22,16,36.3,2.26875
0,4,23,13,29.21,2.246923076923077
0,4,24,11,24.63,2.239090909090909
0,4,25,15,33.07,2.2046666666666668
0,4,26,7,15.43,2.204285714285714
0,4,27,19,41.59,2.188947368421053
0,4,28,5,10.9,2.18
0,4,29,18,38.93,2.162777777777778
0,4,30,18,38.64,2.1466666666666665
0,4,31,14,30.03,2.145
0,4,32,19,40.61,2.1373684210526314
0,4,33,13,27.62,2.124615384615385
0,4,34,13,27.6,2.123076923076923
0,4,35,1,2.11,2.11
0,4,36,18,37.83,2.1016666666666666
0,4,37,1,2.1,2.1
0,4,38,11,22.82,2.0745454545454547
0,4,39,20,41.32,2.066
0,4,40,17,34.85,2.0500000000000003
0,4,41,16,32.6,2.0375
0,4,42,16,32.47,2.029375
0,4,43,6,12.15,2.025
0,4,44,1,2.01,2.01
0,4,45,7,13.98,1.997142857142857
0,4,46,18,35.91,1.9949999999999999
0,4,47,6,11.76,1.96
0,4,48,7,13.69,1.9557142857142857
0,4,49,15,29.11,1.9406666666666665
0,4,50,3,5.82,1.9400000000000002
0,4,51,10,19.28,1.9280000000000002
0,4,52,5,9.61,1.922
0,4,53,4,7.66,1.915
0,4,54,10,18.94,1.8940000000000001
0,4,55,4,7.54,1.885
0,4,56,7,13.17,1.8814285714285715
0,4,57,7,13.17,1.8814285714285715
0,4,58,15,28.18,1.8786666666666667
0,4,59,8,14.95,1.86875
0,4,60,6,11.13,1.8550000000000002
0,4,61,19,35.12,1.8484210526315787
0,4,62,20,36.87,1.8435
0,4,63,4,7.34,1.835
0,4,64,18,33.02,1.8344444444444445
0,4,65,5,9.16,1.832
0,4,66,3,5.47,1.8233333333333333
0,4,67,9,16.07,1.7855555555555556
0,4,68,20,35.71,1.7855
0,4,69,14,24.58,1.7557142857142856
0,4,70,4,7.02,1.755
0,4,71,2,3.48,1.74
0,4,72,16,27.62,1.72625
0,4,73,20,34.48,1.7239999999999998
0,4,74,1,1.71,1.71
0,4,75,3,5.1,1.7
0,4,76,14,23.57,1.6835714285714285
0,4,77,20,33.47,1.6735
0,4,78,14,23.2,1.657142857142857
0,4,79,8,13.14,1.6425
0,4,80,9,14.69,1.6322222222222222
0,4,81,8,13.05,1.63125
0,4,82,5,8.1,1.6199999999999999
0,4,83,12,19.38,1.615
0,4,84,14,22.55,1.6107142857142858
0,4,85,2,3.19,1.595
0,4,86,3,4.76,1.5866666666666667
0,4,87,6,9.39,1.5650000000000002
0,4,88,14,21.47,1.5335714285714286
0,4,89,7,10.73,1.532857142857143
0,4,90,8,12.22,1.5275
0,4,91,10,15.25,1.525
0,4,92,11,16.71,1.5190909090909093
0,4,93,17,25.54,1.5023529411764704
0,4,94,2,2.96,1.48
0,4,95,6,8.62,1.4366666666666665
0,4,96,2,2.85,1.425
0,4,97,5,7.11,1.4220000000000002
0,4,98,7,9.87,1.41
0,4,99,1,1.41,1.41
0,4,100,5,6.96,1.392
0,4,101,15,20.58,1.3719999999999999
0,4,102,13,17.74,1.3646153846153846
0,4,103,16,21.64,1.3525
0,4,104,17,22.98,1.351764705882353
