fromnode,tonode,clientID,a,budget,clientRatio
0,3,0,16,19.42,1.21375
0,3,1,16,16.77,1.048125
0,3,2,5,4.62,0.924
0,3,3,3,1.35,0.45
0,3,4,7,1.43,0.20428571428571426
0,8,0,1,1.26,1.26
0,8,1,9,9.23,1.0255555555555556
0,8,2,1,0.99,0.99
0,8,3,8,6.8,0.85
0,8,4,13,8.29,0.6376923076923077
0,12,0,4,10.59,2.6475
0,12,1,14,30.17,2.1550000000000002
0,12,2,13,26.58,2.0446153846153843
0,12,3,1,0.18,0.18
0,12,4,18,2.57,0.14277777777777778
0,15,0,15,14.1,0.94
0,15,1,15,13.91,0.9273333333333333
0,15,2,8,5.44,0.68
0,15,3,18,4.68,0.26
0,15,4,17,4.23,0.24882352941176472
0,17,0,18,14.66,0.8144444444444444
0,17,1,11,8.71,0.7918181818181819
0,17,2,1,0.39,0.39
0,17,3,4,0.77,0.1925
0,17,4,10,1.37,0.137
0,26,0,19,119.06,6.266315789473684
0,26,1,17,102.64,6.03764705882353
0,26,2,16,87.69,5.480625
0,26,3,14,47.48,3.391428571428571
0,26,4,7,14.91,2.13
0,32,0,2,3.38,1.69
0,32,1,13,19.18,1.4753846153846153
0,32,2,17,23.93,1.4076470588235295
0,32,3,6,7.94,1.3233333333333335
0,32,4,12,4.97,0.4141666666666666
0,48,0,10,25.32,2.532
0,48,1,6,11.47,1.9116666666666668
0,48,2,1,1.74,1.74
0,48,3,13,18.21,1.4007692307692308
0,48,4,17,8.64,0.5082352941176471
0,49,0,18,31.41,1.745
0,49,1,1,1.47,1.47
0,49,2,13,16.25,1.25
0,49,3,20,23.04,1.152
0,49,4,6,5.92,0.9866666666666667
0,55,0,20,41.61,2.0805
0,55,1,9,13.14,1.46
0,55,2,19,15.63,0.8226315789473685
0,55,3,17,13.65,0.8029411764705883
0,55,4,18,10.27,0.5705555555555555
0,57,0,17,72.48,4.263529411764706
0,57,1,17,69.78,4.104705882352941
0,57,2,2,5.24,2.62
0,57,3,7,16.41,2.3442857142857143
0,57,4,1,2.13,2.13
0,60,0,7,26.45,3.7785714285714285
0,60,1,12,28.22,2.3516666666666666
0,60,2,1,2.23,2.23
0,60,3,14,28.34,2.0242857142857145
0,60,4,12,21.04,1.7533333333333332
0,62,0,6,11.31,1.885
0,62,1,1,1.77,1.77
0,62,2,20,34.58,1.7289999999999999
0,62,3,6,7.42,1.2366666666666666
0,62,4,11,11.48,1.0436363636363637
0,63,0,18,65.29,3.6272222222222226
0,63,1,1,2.14,2.14
0,63,2,9,11.34,1.26
0,63,3,3,1.62,0.54
0,63,4,9,2.89,0.3211111111111111
0,72,0,4,1.13,0.2825
0,72,1,6,1.41,0.235
0,72,2,9,1.72,0.19111111111111112
0,72,3,6,0.78,0.13
0,72,4,3,0.21,0.06999999999999999
0,77,0,11,7.02,0.6381818181818182
0,77,1,10,5.88,0.588
0,77,2,13,5.93,0.45615384615384613
0,77,3,7,2.49,0.35571428571428576
0,77,4,4,0.31,0.0775
0,83,0,17,102.96,6.056470588235293
0,83,1,9,50.39,5.598888888888889
0,83,2,20,56.3,2.815
0,83,3,1,1.59,1.59
0,83,4,13,14.54,1.1184615384615384
0,97,0,18,74.3,4.127777777777777
0,97,1,17,57.8,3.4
0,97,2,17,55.42,3.2600000000000002
0,97,3,17,39.55,2.326470588235294
0,97,4,6,13.81,2.3016666666666667
0,98,0,7,27.27,3.8957142857142855
0,98,1,13,39.57,3.043846153846154
0,98,2,11,32.78,2.98
0,98,3,10,7.11,0.7110000000000001
0,98,4,14,5.97,0.42642857142857143
3,0,0,10,11.88,1.1880000000000002
3,0,1,14,12.84,0.9171428571428571
3,0,2,3,1.6,0.5333333333333333
3,0,3,10,1.7,0.16999999999999998
3,0,4,5,0.38,0.076
3,8,0,7,4.08,0.5828571428571429
3,8,1,2,0.73,0.365
3,8,2,20,6.4,0.32
3,8,3,19,5.55,0.2921052631578947
3,8,4,13,1.83,0.14076923076923079
3,12,0,14,33.69,2.406428571428571
3,12,1,13,16.69,1.2838461538461539
3,12,2,4,3.76,0.94
3,12,3,16,8.89,0.555625
3,12,4,16,3.58,0.22375
3,15,0,20,20.34,1.017
3,15,1,7,7.01,1.0014285714285713
3,15,2,19,17.44,0.9178947368421053
3,15,3,11,5.77,0.5245454545454545
3,15,4,10,0.67,0.067
3,17,0,13,22.12,1.7015384615384617
3,17,1,12,20.05,1.6708333333333334
3,17,2,9,11.26,1.251111111111111
3,17,3,18,16.55,0.9194444444444445
3,17,4,18,8.69,0.48277777777777775
3,26,0,11,52.09,4.735454545454545
3,26,1,9,27.21,3.0233333333333334
3,26,2,18,33.81,1.8783333333333334
3,26,3,6,9.22,1.5366666666666668
3,26,4,2,1.86,0.93
3,32,0,8,32.74,4.0925
3,32,1,20,73.95,3.6975000000000002
3,32,2,18,65.8,3.6555555555555554
3,32,3,16,12.75,0.796875
3,32,4,11,7.71,0.7009090909090909
3,48,0,5,21.32,4.264
3,48,1,19,76.69,4.036315789473684
3,48,2,3,6.2,2.066666666666667
3,48,3,11,8.43,0.7663636363636364
3,48,4,11,4.36,0.3963636363636364
3,49,0,3,8.19,2.73
3,49,1,12,30.72,2.56
3,49,2,19,30.05,1.5815789473684212
3,49,3,18,13.12,0.7288888888888888
3,49,4,13,4.22,0.3246153846153846
3,55,0,2,6.14,3.07
3,55,1,1,2.32,2.32
3,55,2,4,7.06,1.765
3,55,3,9,4.75,0.5277777777777778
3,55,4,1,0.47,0.47
3,57,0,4,17.68,4.42
3,57,1,4,10.03,2.5075
3,57,2,19,44.77,2.3563157894736846
3,57,3,2,2.34,1.17
3,57,4,8,8.17,1.02125
3,60,0,18,81.58,4.532222222222222
3,60,1,13,52.55,4.042307692307692
3,60,2,10,28.21,2.821
3,60,3,4,9.09,2.2725
