fromnode,tonode,c
0,0,0.0
0,3,0.315
0,8,0.28
0,12,0.585
0,15,0.197
0,17,0.176
0,26,1.286
0,32,0.674
0,48,0.708
0,49,0.378
0,55,0.434
0,57,1.044
0,60,0.801
0,62,0.435
0,63,0.901
0,72,0.07
0,77,0.247
0,83,1.239
0,97,0.984
0,98,0.885
3,0,0.315
3,3,0.0
3,8,0.121
3,12,0.792
3,15,0.232
3,17,0.364
3,26,1.537
3,32,0.938
3,48,1.021
3,49,0.572
3,55,0.736
3,57,1.061
3,60,0.993
3,62,0.685
3,63,1.111
3,72,0.253
3,77,0.206
3,83,1.507
3,97,0.999
3,98,1.196
8,0,0.28
8,3,0.121
8,8,0.0
8,12,0.682
8,15,0.281
8,17,0.272
8,26,1.432
8,32,0.945
8,48,0.961
8,49,0.464
8,55,0.714
8,57,0.946
8,60,0.878
8,62,0.587
8,63,0.998
8,72,0.21
8,77,0.277
8,83,1.407
8,97,0.883
8,98,1.129
12,0,0.585
12,3,0.792
12,8,0.682
12,12,0.0
12,15,0.779
12,17,0.44
12,26,0.754
12,32,0.96
12,48,0.581
12,49,0.221
12,55,0.675
12,57,0.661
12,60,0.216
12,62,0.177
12,63,0.321
12,72,0.598
12,77,0.822
12,83,0.745
12,97,0.619
12,98,0.663
15,0,0.197
15,3,0.232
15,8,0.281
15,12,0.779
15,15,0.0
15,17,0.349
15,26,1.482
15,32,0.712
15,48,0.868
15,49,0.566
15,55,0.537
15,57,1.185
15,60,0.994
15,62,0.633
15,63,1.097
15,72,0.186
15,77,0.055
15,83,1.432
15,97,1.123
15,98,1.05
17,0,0.176
17,3,0.364
17,8,0.272
17,12,0.44
17,15,0.349
17,17,0.0
17,26,1.174
17,32,0.795
17,48,0.703
17,49,0.221
17,55,0.522
17,57,0.87
17,60,0.651
17,62,0.32
17,63,0.761
17,72,0.164
17,77,0.387
17,83,1.142
17,97,0.81
17,98,0.864
26,0,1.286
26,3,1.537
26,8,1.432
26,12,0.754
26,15,1.482
26,17,1.174
26,26,0.0
26,32,1.346
26,48,0.8
26,49,0.967
26,55,1.154
26,57,1.072
26,60,0.594
26,62,0.857
26,63,0.465
26,72,1.318
26,77,1.532
26,83,0.135
26,97,1.073
26,98,0.681
32,0,0.674
32,3,0.938
32,8,0.945
32,12,0.96
32,15,0.712
32,17,0.795
32,26,1.346
32,32,0.0
32,48,0.546
32,49,0.871
32,55,0.291
32,57,1.592
32,60,1.134
32,62,0.792
32,63,1.167
32,72,0.741
32,77,0.755
32,83,1.241
32,97,1.539
32,98,0.688
48,0,0.708
48,3,1.021
48,8,0.961
48,12,0.581
48,15,0.868
48,17,0.703
48,26,0.8
48,32,0.546
48,48,0.0
48,49,0.625
48,55,0.39
48,57,1.239
48,60,0.684
48,62,0.48
48,63,0.676
48,72,0.769
48,77,0.923
48,83,0.697
48,97,1.199
48,98,0.184
49,0,0.378
49,3,0.572
49,8,0.464
49,12,0.221
49,15,0.566
49,17,0.221
49,26,0.967
49,32,0.871
49,48,0.625
49,49,0.0
49,55,0.58
49,57,0.724
49,60,0.43
49,62,0.152
49,63,0.541
49,72,0.382
49,77,0.607
49,83,0.947
49,97,0.67
49,98,0.756
55,0,0.434
55,3,0.736
55,8,0.714
