fromnode,tonode,c
3,3,0.0
3,32,0.938
3,45,0.577
3,59,0.948
3,67,1.068
3,79,2.436
3,83,1.507
3,88,0.571
3,94,1.149
3,99,0.277
32,3,0.938
32,32,0.0
32,45,0.574
32,59,0.144
32,67,0.425
32,79,1.586
32,83,1.241
32,88,0.459
32,94,0.76
32,99,0.69
45,3,0.577
45,32,0.574
45,45,0.0
45,59,0.503
45,67,0.517
45,79,1.884
45,83,0.986
45,88,0.136
45,94,0.578
45,99,0.314
59,3,0.948
59,32,0.144
59,45,0.503
59,59,0.0
59,67,0.282
59,79,1.518
59,83,1.097
59,88,0.412
59,94,0.616
59,99,0.682
67,3,1.068
67,32,0.425
67,45,0.517
67,59,0.282
67,67,0.0
67,79,1.371
67,83,0.824
67,88,0.498
67,94,0.353
67,99,0.792
79,3,2.436
79,32,1.586
79,45,1.884
79,59,1.518
79,67,1.371
79,79,0.0
79,83,1.463
79,88,1.865
79,94,1.42
79,99,2.16
83,3,1.507
83,32,1.241
83,45,0.986
83,59,1.097
83,67,0.824
83,79,1.463
83,83,0.0
83,88,1.081
83,94,0.482
83,99,1.285
88,3,0.571
88,32,0.459
88,45,0.136
88,59,0.412
88,67,0.498
88,79,1.865
88,83,1.081
88,88,0.0
88,94,0.64
88,99,0.294
94,3,1.149
94,32,0.76
94,45,0.578
94,59,0.616
94,67,0.353
94,79,1.42
94,83,0.482
94,88,0.64
94,94,0.0
94,99,0.892
99,3,0.277
99,32,0.69
99,45,0.314
99,59,0.682
99,67,0.792
99,79,2.16
99,83,1.285
99,88,0.294
99,94,0.892
99,99,0.0
