fromnode,tonode,c
1,1,0.0
1,4,0.852
1,9,1.275
1,20,0.717
1,26,1.681
1,31,0.479
1,35,0.793
1,41,0.705
1,54,0.702
1,59,0.979
1,61,0.862
1,62,0.825
1,66,1.371
1,73,2.395
1,83,1.643
4,1,0.852
4,4,0.0
4,9,0.449
4,20,0.597
4,26,0.876
4,31,0.602
4,35,0.35
4,41,0.154
4,54,0.321
4,59,0.906
4,61,0.633
4,62,0.214
4,66,0.761
4,73,2.172
4,83,0.875
9,1,1.275
9,4,0.449
9,9,0.0
9,20,0.805
9,26,0.428
9,31,0.925
9,35,0.557
9,41,0.601
9,54,0.611
9,59,0.996
9,61,0.753
9,62,0.464
9,66,0.503
9,73,1.985
9,83,0.444
20,1,0.717
20,4,0.597
20,9,0.805
20,20,0.0
20,26,1.117
20,31,0.238
20,35,0.265
20,41,0.567
20,54,0.277
20,59,0.344
20,61,0.145
20,62,0.401
20,66,0.694
20,73,1.748
20,83,1.041
26,1,1.681
26,4,0.876
26,9,0.428
26,20,1.117
26,26,0.0
26,31,1.286
26,35,0.913
26,41,1.027
26,54,0.989
26,59,1.203
26,61,1.023
26,62,0.857
26,66,0.525
26,73,1.843
26,83,0.135
31,1,0.479
31,4,0.602
31,9,0.925
31,20,0.238
31,26,1.286
31,31,0.0
31,35,0.374
31,41,0.514
31,54,0.316
31,59,0.534
31,61,0.383
31,62,0.466
31,66,0.911
31,73,1.959
31,83,1.226
35,1,0.793
35,4,0.35
35,9,0.557
35,20,0.265
35,26,0.913
35,31,0.374
35,35,0.0
35,41,0.367
35,54,0.098
35,59,0.557
35,61,0.284
35,62,0.14
35,66,0.588
35,73,1.867
35,83,0.859
41,1,0.705
41,4,0.154
41,9,0.601
41,20,0.567
41,26,1.027
41,31,0.514
41,35,0.367
41,41,0.0
41,54,0.299
41,59,0.902
41,61,0.638
41,62,0.266
41,66,0.871
41,73,2.231
41,83,1.02
54,1,0.702
54,4,0.321
54,9,0.611
54,20,0.277
54,26,0.989
54,31,0.316
54,35,0.098
54,41,0.299
54,54,0.0
54,59,0.603
54,61,0.339
54,62,0.151
54,66,0.685
54,73,1.95
54,83,0.943
59,1,0.979
59,4,0.906
59,9,0.996
59,20,0.344
59,26,1.203
59,31,0.534
59,35,0.557
59,41,0.902
59,54,0.603
59,59,0.0
59,61,0.274
59,62,0.695
59,66,0.694
59,73,1.426
59,83,1.097
61,1,0.862
61,4,0.633
61,9,0.753
61,20,0.145
61,26,1.023
61,31,0.383
61,35,0.284
61,41,0.638
61,54,0.339
61,59,0.274
61,61,0.0
61,62,0.421
61,66,0.567
61,73,1.626
61,83,0.935
62,1,0.825
62,4,0.214
62,9,0.464
62,20,0.401
62,26,0.857
62,31,0.466
62,35,0.14
62,41,0.266
62,54,0.151
62,59,0.695
62,61,0.421
62,62,0.0
62,66,0.615
62,73,1.972
62,83,0.822
66,1,1.371
66,4,0.761
66,9,0.503
66,20,0.694
66,26,0.525
66,31,0.911
66,35,0.588
66,41,0.871
66,54,0.685
66,59,0.694
66,61,0.567
66,62,0.615
66,66,0.0
66,73,1.484
66,83,0.407
73,1,2.395
73,4,2.172
73,9,1.985
73,20,1.748
73,26,1.843
73,31,1.959
73,35,1.867
73,41,2.231
73,54,1.95
73,59,1.426
73,61,1.626
73,62,1.972
73,66,1.484
73,73,0.0
73,83,1.714
83,1,1.643
83,4,0.875
83,9,0.444
83,20,1.041
83,26,0.135
83,31,1.226
83,35,0.859
83,41,1.02
83,54,0.943
83,59,1.097
83,61,0.935
83,62,0.822
83,66,0.407
83,73,1.714
83,83,0.0
