fromnode,tonode,clientID,a,budget,clientRatio
10,33,0,19,58.68,3.088421052631579
10,33,1,16,45.99,2.874375
10,33,2,19,34.78,1.8305263157894738
10,33,3,12,15.49,1.2908333333333333
10,33,4,2,0.3,0.15
10,62,0,14,38.52,2.751428571428572
10,62,1,7,15.61,2.23
10,62,2,18,37.64,2.091111111111111
10,62,3,7,12.24,1.7485714285714287
10,62,4,1,0.91,0.91
10,73,0,14,107.16,7.654285714285714
10,73,1,20,131.55,6.577500000000001
10,73,2,9,57.34,6.371111111111111
10,73,3,3,10.96,3.6533333333333338
10,73,4,14,47.76,3.4114285714285715
10,97,0,7,25.62,3.66
10,97,1,7,21.88,3.1257142857142854
10,97,2,15,46.81,3.1206666666666667
10,97,3,2,5.31,2.655
10,97,4,10,5.86,0.5860000000000001
33,10,0,17,61.89,3.6405882352941177
33,10,1,1,2.41,2.41
33,10,2,8,18.41,2.30125
33,10,3,7,13.93,1.99
33,10,4,12,22.67,1.8891666666666669
33,62,0,10,42.65,4.265
33,62,1,20,78.98,3.9490000000000003
33,62,2,10,22.37,2.237
33,62,3,17,22.95,1.3499999999999999
33,62,4,4,2.95,0.7375
33,73,0,5,19.75,3.95
33,73,1,11,40.76,3.705454545454545
33,73,2,13,42.23,3.2484615384615383
33,73,3,6,2.18,0.36333333333333334
33,73,4,17,5.7,0.33529411764705885
33,97,0,20,102.88,5.144
33,97,1,14,69.32,4.951428571428571
33,97,2,12,39.18,3.265
33,97,3,13,33.5,2.576923076923077
33,97,4,16,11.9,0.74375
62,10,0,3,8.1,2.6999999999999997
62,10,1,13,31.47,2.420769230769231
62,10,2,15,21.19,1.4126666666666667
62,10,3,15,12.44,0.8293333333333333
62,10,4,13,5.17,0.3976923076923077
62,33,0,14,77.11,5.507857142857143
62,33,1,7,30.93,4.418571428571428
62,33,2,10,41.9,4.1899999999999995
62,33,3,9,24.88,2.7644444444444445
62,33,4,17,44.61,2.6241176470588234
62,73,0,19,151.69,7.983684210526316
62,73,1,15,52.69,3.5126666666666666
62,73,2,7,19.74,2.82
62,73,3,18,28.14,1.5633333333333335
62,73,4,6,3.42,0.57
62,97,0,14,49.34,3.5242857142857145
62,97,1,14,33.31,2.3792857142857144
62,97,2,9,21.09,2.3433333333333333
62,97,3,16,31.07,1.941875
62,97,4,17,18.34,1.0788235294117647
73,10,0,6,54.93,9.155
73,10,1,13,63.29,4.868461538461538
73,10,2,20,75.55,3.7775
73,10,3,15,49.52,3.3013333333333335
73,10,4,20,55.61,2.7805
73,33,0,13,81.71,6.285384615384615
73,33,1,6,36.29,6.048333333333333
73,33,2,10,37.19,3.719
73,33,3,20,60.71,3.0355
73,33,4,2,2.77,1.385
73,62,0,2,18.19,9.095
73,62,1,16,135.57,8.473125
73,62,2,20,154.33,7.716500000000001
73,62,3,4,27.4,6.85
73,62,4,12,45.85,3.8208333333333333
73,97,0,5,63.36,12.672
73,97,1,17,116.16,6.832941176470588
73,97,2,12,62.05,5.170833333333333
73,97,3,16,56.11,3.506875
73,97,4,20,14.47,0.7235
97,10,0,4,12.72,3.18
97,10,1,5,15.21,3.0420000000000003
97,10,2,2,5.79,2.895
97,10,3,8,21.83,2.72875
97,10,4,5,1.67,0.33399999999999996
97,33,0,9,66.57,7.396666666666666
97,33,1,15,89.48,5.965333333333334
97,33,2,3,15.68,5.226666666666667
97,33,3,3,4.74,1.58
97,33,4,18,23.65,1.3138888888888889
97,62,0,7,24.21,3.4585714285714286
97,62,1,5,15.64,3.128
97,62,2,1,3.03,3.03
97,62,3,15,29.55,1.97
97,62,4,15,28.42,1.8946666666666667
97,73,0,10,130.64,13.063999999999998
97,73,1,9,59.85,6.65
97,73,2,15,93.92,6.261333333333334
97,73,3,10,51.48,5.148
97,73,4,19,25.64,1.3494736842105264
