fromnode,tonode,c
4,4,0.0
4,6,0.812
4,7,1.969
4,8,0.576
4,9,0.449
4,11,0.749
4,12,0.134
4,19,0.106
4,27,0.707
4,30,0.743
4,41,0.154
4,46,0.341
4,50,1.749
4,53,1.934
4,55,0.707
4,64,0.755
4,68,0.4
4,70,0.672
4,74,0.903
4,83,0.875
6,4,0.812
6,6,0.0
6,7,1.288
6,8,1.34
6,9,0.391
6,11,1.458
6,12,0.681
6,19,0.798
6,27,0.187
6,30,0.807
6,41,0.956
6,46,0.472
6,50,1.085
6,53,1.225
6,55,0.999
6,64,1.511
6,68,0.994
6,70,1.434
6,74,1.66
6,83,0.07
7,4,1.969
7,6,1.288
7,7,0.0
7,8,2.328
7,9,1.649
7,11,2.346
7,12,1.84
7,19,1.905
7,27,1.296
7,30,1.434
7,41,2.074
7,46,1.674
7,50,0.223
7,53,0.114
7,55,1.669
7,64,2.457
7,68,2.253
7,70,2.404
7,74,2.582
7,83,1.266
8,4,0.576
8,6,1.34
8,7,2.328
8,8,0.0
8,9,1.014
8,11,0.212
8,12,0.682
8,19,0.551
8,27,1.196
8,30,0.91
8,41,0.425
8,46,0.888
8,50,2.106
8,53,2.317
8,55,0.714
8,64,0.179
8,68,0.783
8,70,0.096
8,74,0.328
8,83,1.407
9,4,0.449
9,6,0.391
9,7,1.649
9,8,1.014
9,9,0.0
9,11,1.164
9,12,0.332
9,19,0.465
9,27,0.358
9,30,0.772
9,41,0.601
9,46,0.138
9,50,1.437
9,53,1.596
9,55,0.875
9,64,1.192
9,68,0.608
9,70,1.11
9,74,1.341
9,83,0.444
11,4,0.749
11,6,1.458
11,7,2.346
11,8,0.212
11,9,1.164
11,11,0.0
11,12,0.837
11,19,0.702
11,27,1.299
11,30,0.912
11,41,0.606
11,46,1.032
11,50,2.128
11,53,2.346
11,55,0.683
11,64,0.145
11,68,0.992
11,70,0.165
11,74,0.236
11,83,1.528
12,4,0.134
12,6,0.681
12,7,1.84
12,8,0.682
12,9,0.332
12,11,0.837
12,12,0.0
12,19,0.135
12,27,0.573
12,30,0.668
12,41,0.276
12,46,0.212
12,50,1.618
12,53,1.803
12,55,0.675
12,64,0.86
12,68,0.475
12,70,0.778
12,74,1.009
12,83,0.745
19,4,0.106
19,6,0.798
19,7,1.905
19,8,0.551
19,9,0.465
19,11,0.702
19,12,0.135
19,19,0.0
19,27,0.672
19,30,0.642
19,41,0.17
19,46,0.338
19,50,1.682
19,53,1.876
19,55,0.601
19,64,0.728
19,68,0.505
19,70,0.647
19,74,0.877
19,83,0.863
27,4,0.707
27,6,0.187
27,7,1.296
27,8,1.196
27,9,0.358
27,11,1.299
27,12,0.573
27,19,0.672
27,27,0.0
27,30,0.621
27,41,0.839
27,46,0.383
27,50,1.081
27,53,1.248
27,55,0.813
27,64,1.363
27,68,0.957
27,70,1.289
27,74,1.51
27,83,0.253
30,4,0.743
30,6,0.807
30,7,1.434
30,8,0.91
30,9,0.772
30,11,0.912
30,12,0.668
30,19,0.642
30,27,0.621
30,30,0.0
30,41,0.772
30,46,0.666
30,50,1.216
30,53,1.436
30,55,0.247
30,64,1.026
30,68,1.137
30,70,0.978
30,74,1.148
30,83,0.87
41,4,0.154
41,6,0.956
41,7,2.074
41,8,0.425
41,9,0.601
41,11,0.606
41,12,0.276
41,19,0.17
41,27,0.839
41,30,0.772
41,41,0.0
41,46,0.487
41,50,1.85
41,53,2.045
41,55,0.685
41,64,0.603
41,68,0.445
41,70,0.52
41,74,0.751
41,83,1.02
46,4,0.341
46,6,0.472
46,7,1.674
46,8,0.888
46,9,0.138
46,11,1.032
46,12,0.212
46,19,0.338
46,27,0.383
46,30,0.666
46,41,0.487
46,46,0.0
46,50,1.455
46,53,1.629
46,55,0.748
46,64,1.065
46,68,0.585
46,70,0.985
46,74,1.215
46,83,0.534
50,4,1.749
50,6,1.085
50,7,0.223
50,8,2.106
50,9,1.437
50,11,2.128
50,12,1.618
50,19,1.682
50,27,1.081
50,30,1.216
50,41,1.85
50,46,1.455
50,50,0.0
50,53,0.227
50,55,1.454
50,64,2.237
50,68,2.037
50,70,2.183
50,74,2.363
50,83,1.069
53,4,1.934
53,6,1.225
53,7,0.114
