fromnode,tonode,c
0,0,0.0
0,2,1.426
0,4,0.528
0,10,1.035
0,11,0.297
0,12,0.585
0,18,0.394
0,24,0.482
0,25,0.099
0,33,1.519
0,34,0.104
0,40,0.343
0,42,0.249
0,46,0.762
0,47,0.724
0,52,0.728
0,54,0.297
0,60,0.801
0,62,0.435
0,68,0.857
0,69,0.789
0,70,0.341
0,72,0.07
0,73,2.078
0,75,0.376
0,83,1.239
0,84,2.045
0,91,0.895
0,96,0.263
0,97,0.984
2,0,1.426
2,2,0.0
2,4,1.269
2,10,0.813
2,11,1.719
2,12,1.138
2,18,1.449
2,24,1.453
2,25,1.343
2,33,0.223
2,34,1.504
2,40,1.499
2,42,1.664
2,46,0.969
2,47,1.484
2,52,0.816
2,54,1.177
2,60,1.107
2,62,1.122
2,68,1.55
2,69,1.171
2,70,1.753
2,72,1.485
2,73,1.111
2,75,1.565
2,83,0.608
2,84,0.629
2,91,1.504
2,96,1.638
2,97,1.671
4,0,0.528
4,2,1.269
4,4,0.0
4,10,0.619
4,11,0.749
4,12,0.134
4,18,0.227
4,24,0.192
4,25,0.446
4,33,1.283
4,34,0.626
4,40,0.306
4,42,0.618
4,46,0.341
4,47,0.276
4,52,0.453
4,54,0.321
4,60,0.302
4,62,0.214
4,68,0.4
4,69,0.272
4,70,0.672
4,72,0.526
4,73,2.172
4,75,0.356
4,83,0.875
4,84,1.891
4,91,0.41
4,96,0.54
4,97,0.545
10,0,1.035
10,2,0.813
10,4,0.619
10,10,0.0
10,11,1.312
10,12,0.495
10,18,0.844
10,24,0.806
10,25,0.936
10,33,0.745
10,34,1.137
10,40,0.919
10,42,1.201
10,46,0.285
10,47,0.741
10,52,0.345
10,54,0.739
10,60,0.349
10,62,0.602
10,68,0.773
10,69,0.41
10,70,1.269
10,72,1.064
10,73,1.884
10,75,0.974
10,83,0.269
10,84,1.38
10,91,0.716
10,96,1.136
10,97,0.877
11,0,0.297
11,2,1.719
11,4,0.749
11,10,1.312
11,11,0.0
11,12,0.837
11,18,0.551
11,24,0.635
11,25,0.391
11,33,1.816
11,34,0.216
11,40,0.472
11,42,0.145
11,46,1.032
11,47,0.871
11,52,1.019
11,54,0.586
11,60,1.045
11,62,0.711
11,68,0.992
11,69,1.021
11,70,0.165
11,72,0.251
11,73,2.307
11,75,0.462
11,83,1.528
11,84,2.333
11,91,1.047
11,96,0.238
