fromnode,tonode,c
2,2,0.0
2,7,0.704
2,8,1.67
2,11,1.719
2,13,1.973
2,19,1.211
2,30,0.832
2,37,1.234
2,38,0.745
2,50,0.487
2,51,1.238
2,61,0.978
2,70,1.753
2,92,1.314
2,97,1.671
7,2,0.704
7,7,0.0
7,8,2.328
7,11,2.346
7,13,2.599
7,19,1.905
7,30,1.434
7,37,1.87
7,38,0.1
7,50,0.223
7,51,1.897
7,61,1.595
7,70,2.404
7,92,1.943
7,97,2.38
8,2,1.67
8,7,2.328
8,8,0.0
8,11,0.212
8,13,0.37
8,19,0.551
8,30,0.91
8,37,0.468
8,38,2.334
8,50,2.106
8,51,0.436
8,61,0.747
8,70,0.096
8,92,0.411
8,97,0.883
11,2,1.719
11,7,2.346
11,8,0.212
11,11,0.0
11,13,0.255
11,19,0.702
11,30,0.912
11,37,0.485
11,38,2.342
11,50,2.128
11,51,0.54
11,61,0.751
11,70,0.165
11,92,0.406
11,97,1.095
13,2,1.973
13,7,2.599
13,8,0.37
13,11,0.255
13,13,0.0
13,19,0.917
13,30,1.165
13,37,0.739
13,38,2.593
13,50,2.381
13,51,0.778
13,61,1.005
13,70,0.274
13,92,0.661
13,97,1.197
19,2,1.211
19,7,1.905
19,8,0.551
19,11,0.702
19,13,0.917
19,19,0.0
19,30,0.642
19,37,0.41
19,38,1.929
19,50,1.682
19,51,0.21
19,61,0.528
19,70,0.647
19,92,0.458
19,97,0.65
30,2,0.832
30,7,1.434
30,8,0.91
30,11,0.912
30,13,1.165
30,19,0.642
30,30,0.0
30,37,0.443
30,38,1.431
30,50,1.216
30,51,0.539
30,61,0.164
30,70,0.978
30,92,0.511
30,97,1.282
37,2,1.234
37,7,1.87
37,8,0.468
37,11,0.485
37,13,0.739
37,19,0.41
37,30,0.443
37,37,0.0
37,38,1.872
37,50,1.65
37,51,0.205
37,61,0.279
37,70,0.536
37,92,0.084
37,97,1.027
38,2,0.745
38,7,0.1
38,8,2.334
38,11,2.342
38,13,2.593
38,19,1.929
38,30,1.431
38,37,1.872
38,38,0.0
38,50,0.259
38,51,1.922
38,61,1.594
38,70,2.407
38,92,1.942
38,97,2.416
50,2,0.487
50,7,0.223
50,8,2.106
50,11,2.128
50,13,2.381
50,19,1.682
50,30,1.216
50,37,1.65
50,38,0.259
50,50,0.0
50,51,1.686
50,61,1.376
50,70,2.183
50,92,1.724
50,97,2.158
51,2,1.238
51,7,1.897
51,8,0.436
51,11,0.54
51,13,0.778
51,19,0.21
51,30,0.539
51,37,0.205
51,38,1.922
51,50,1.686
51,51,0.0
51,61,0.393
51,70,0.526
51,92,0.249
51,97,0.825
61,2,0.978
61,7,1.595
61,8,0.747
61,11,0.751
61,13,1.005
61,19,0.528
61,30,0.164
61,37,0.279
61,38,1.594
61,50,1.376
61,51,0.393
61,61,0.0
61,70,0.814
61,92,0.348
61,97,1.178
70,2,1.753
70,7,2.404
70,8,0.096
70,11,0.165
70,13,0.274
70,19,0.647
70,30,0.978
70,37,0.536
70,38,2.407
70,50,2.183
70,51,0.526
70,61,0.814
70,70,0.0
70,92,0.47
70,97,0.954
92,2,1.314
92,7,1.943
92,8,0.411
92,11,0.406
92,13,0.661
92,19,0.458
92,30,0.511
92,37,0.084
92,38,1.942
92,50,1.724
92,51,0.249
92,61,0.348
92,70,0.47
92,92,0.0
92,97,1.049
97,2,1.671
97,7,2.38
97,8,0.883
97,11,1.095
97,13,1.197
97,19,0.65
97,30,1.282
97,37,1.027
97,38,2.416
97,50,2.158
97,51,0.825
97,61,1.178
97,70,0.954
97,92,1.049
97,97,0.0
