fromnode,tonode,clientID,a,budget,clientRatio
6,9,0,11,20.43,1.8572727272727272
6,9,1,2,3.57,1.785
6,9,2,3,4.86,1.62
6,9,3,13,16.9,1.2999999999999998
6,9,4,14,12.08,0.8628571428571429
6,9,5,4,3.06,0.765
6,9,6,19,5.9,0.3105263157894737
6,9,7,8,1.99,0.24875
6,9,8,14,2.65,0.18928571428571428
6,9,9,7,1.04,0.14857142857142858
6,12,0,2,6.65,3.325
6,12,1,19,61.45,3.2342105263157896
6,12,2,19,42.27,2.2247368421052633
6,12,3,8,17.58,2.1975
6,12,4,19,38.95,2.0500000000000003
6,12,5,2,3.91,1.955
6,12,6,5,9.52,1.904
6,12,7,19,21.75,1.144736842105263
6,12,8,5,5.41,1.082
6,12,9,6,2.84,0.47333333333333333
6,19,0,8,25.62,3.2025
6,19,1,11,32.49,2.9536363636363636
6,19,2,3,6.96,2.32
6,19,3,10,21.71,2.1710000000000003
6,19,4,11,21.37,1.9427272727272729
6,19,5,18,32.35,1.7972222222222223
6,19,6,15,23.17,1.5446666666666669
6,19,7,20,18.97,0.9484999999999999
6,19,8,12,6.39,0.5325
6,19,9,8,3.79,0.47375
6,41,0,19,73.11,3.8478947368421053
6,41,1,19,72.43,3.812105263157895
6,41,2,3,11.1,3.6999999999999997
6,41,3,10,29.86,2.9859999999999998
6,41,4,12,35.02,2.9183333333333334
6,41,5,16,34.02,2.12625
6,41,6,11,19.27,1.7518181818181817
6,41,7,14,13.27,0.9478571428571428
6,41,8,11,9.77,0.8881818181818182
6,41,9,3,2.2,0.7333333333333334
6,46,0,13,27.35,2.103846153846154
6,46,1,3,5.99,1.9966666666666668
6,46,2,10,15.61,1.561
6,46,3,9,10.52,1.1688888888888889
6,46,4,15,13.5,0.9
6,46,5,15,11.09,0.7393333333333333
6,46,6,2,1.18,0.59
6,46,7,20,7.19,0.35950000000000004
6,46,8,3,0.7,0.2333333333333333
6,46,9,12,1.75,0.14583333333333334
6,50,0,13,67.66,5.204615384615384
6,50,1,9,43.36,4.817777777777778
6,50,2,14,66.03,4.716428571428572
6,50,3,9,35.06,3.8955555555555557
6,50,4,12,45.27,3.7725000000000004
6,50,5,15,34.63,2.308666666666667
6,50,6,8,18.31,2.28875
6,50,7,10,8.91,0.891
6,50,8,5,3.25,0.65
6,50,9,16,10.19,0.636875
6,68,0,17,80.45,4.732352941176471
6,68,1,5,17.47,3.4939999999999998
6,68,2,20,58.02,2.9010000000000002
6,68,3,14,38.49,2.7492857142857146
6,68,4,2,4.76,2.38
6,68,5,18,37.28,2.071111111111111
6,68,6,5,6.53,1.306
6,68,7,19,20.31,1.0689473684210526
6,68,8,8,2.05,0.25625
6,68,9,10,2.18,0.21800000000000003
6,74,0,4,31.57,7.8925
6,74,1,16,86.18,5.38625
6,74,2,7,36.57,5.224285714285714
6,74,3,7,26.9,3.8428571428571425
6,74,4,13,45.14,3.4723076923076923
6,74,5,4,12.17,3.0425
6,74,6,2,3.7,1.85
6,74,7,19,29.21,1.5373684210526317
6,74,8,2,2.3,1.15
6,74,9,20,10.7,0.5349999999999999
6,83,0,16,5.56,0.3475
6,83,1,7,2.33,0.33285714285714285
6,83,2,4,1.06,0.265
6,83,3,5,1.14,0.22799999999999998
6,83,4,12,2.6,0.21666666666666667
6,83,5,6,1.12,0.18666666666666668
6,83,6,15,2.63,0.1753333333333333
6,83,7,9,1.57,0.17444444444444446
6,83,8,16,0.88,0.055
6,83,9,10,0.43,0.043
9,6,0,18,32.29,1.7938888888888889
9,6,1,7,11.14,1.5914285714285714
9,6,2,3,4.15,1.3833333333333335
9,6,3,8,9.83,1.22875
9,6,4,8,8.62,1.0775
9,6,5,9,9.46,1.051111111111111
9,6,6,17,12.87,0.7570588235294117
9,6,7,6,4.47,0.745
9,6,8,17,11.85,0.6970588235294117
9,6,9,17,10.84,0.6376470588235295
9,12,0,1,1.64,1.64
9,12,1,12,19.06,1.5883333333333332
9,12,2,13,16.19,1.2453846153846155
9,12,3,7,8.19,1.17
9,12,4,9,7.37,0.8188888888888889
9,12,5,12,9.35,0.7791666666666667
9,12,6,16,10.13,0.633125
9,12,7,4,1.71,0.4275
9,12,8,8,3.08,0.385
9,12,9,12,2.34,0.19499999999999998
9,19,0,16,33.96,2.1225
9,19,1,4,8.49,2.1225
9,19,2,20,39.38,1.969
9,19,3,3,5.87,1.9566666666666668
9,19,4,12,22.53,1.8775000000000002
9,19,5,16,23.77,1.485625
9,19,6,7,8.12,1.16
9,19,7,6,6.37,1.0616666666666668
9,19,8,7,5.93,0.8471428571428571
9,19,9,11,3.15,0.2863636363636364
9,41,0,6,17.91,2.985
9,41,1,20,58.96,2.948
9,41,2,15,36.7,2.4466666666666668
9,41,3,1,2.43,2.43
9,41,4,3,6.63,2.21
9,41,5,5,9.42,1.884
9,41,6,13,18.93,1.4561538461538461
9,41,7,12,6.84,0.57
9,41,8,1,0.56,0.56
9,41,9,18,8.97,0.49833333333333335
9,46,0,2,1.26,0.63
9,46,1,12,7.47,0.6224999999999999
9,46,2,14,8.12,0.58
9,46,3,7,4.02,0.5742857142857142
9,46,4,8,4.27,0.53375
9,46,5,4,1.51,0.3775
9,46,6,5,1.57,0.314
9,46,7,7,1.55,0.22142857142857145
9,46,8,11,2.19,0.1990909090909091
9,46,9,7,0.32,0.045714285714285714
9,50,0,1,6.31,6.31
9,50,1,19,112.28,5.909473684210527
9,50,2,11,54.93,4.993636363636363
9,50,3,16,72.92,4.5575
9,50,4,6,26.91,4.485
9,50,5,4,16.5,4.125
9,50,6,5,19.49,3.8979999999999997
9,50,7,17,54.21,3.188823529411765
9,50,8,5,7.38,1.476
9,50,9,17,20.22,1.1894117647058824
9,68,0,20,59.25,2.9625
9,68,1,4,10.8,2.7
9,68,2,17,29.62,1.7423529411764707
9,68,3,20,32.33,1.6164999999999998
9,68,4,4,6.41,1.6025
9,68,5,9,12.98,1.4422222222222223
9,68,6,3,4.25,1.4166666666666667
9,68,7,2,1.69,0.845
9,68,8,9,2.2,0.24444444444444446
9,68,9,18,3.65,0.20277777777777778
9,74,0,17,107.58,6.328235294117647
9,74,1,9,55.87,6.207777777777777
9,74,2,17,100.47,5.91
9,74,3,7,39.73,5.675714285714285
9,74,4,18,98.37,5.465
9,74,5,10,53.14,5.314
9,74,6,3,13.76,4.586666666666667
9,74,7,13,40.48,3.1138461538461537
9,74,8,5,14.75,2.95
9,74,9,14,10.34,0.7385714285714285
9,83,0,14,30.9,2.207142857142857
9,83,1,5,10.75,2.15
9,83,2,5,10.46,2.092
9,83,3,8,13.44,1.68
9,83,4,4,3.75,0.9375
9,83,5,7,5.94,0.8485714285714286
9,83,6,13,10.55,0.8115384615384615
9,83,7,16,6.97,0.435625
9,83,8,8,3.46,0.4325
9,83,9,12,4.72,0.3933333333333333
12,6,0,4,13.42,3.355
12,6,1,8,26.5,3.3125
12,6,2,17,55.71,3.277058823529412
12,6,3,3,7.49,2.4966666666666666
12,6,4,17,36.99,2.1758823529411764
12,6,5,15,23.64,1.576
12,6,6,1,1.39,1.39
12,6,7,1,1.24,1.24
12,6,8,4,1.64,0.41
12,6,9,9,2.39,0.26555555555555554
12,9,0,18,27.56,1.531111111111111
12,9,1,5,6.86,1.372
12,9,2,2,2.68,1.34
12,9,3,1,1.08,1.08
12,9,4,19,16.24,0.8547368421052631
12,9,5,6,4.47,0.745
12,9,6,9,6.42,0.7133333333333334
12,9,7,6,2.98,0.49666666666666665
12,9,8,3,1.48,0.49333333333333335
12,9,9,11,2.3,0.20909090909090908
12,19,0,11,7.38,0.6709090909090909
12,19,1,8,5.08,0.635
12,19,2,14,8.78,0.6271428571428571
12,19,3,9,3.87,0.43
12,19,4,2,0.74,0.37
12,19,5,4,1.28,0.32
12,19,6,6,1.18,0.19666666666666666
12,19,7,6,0.95,0.15833333333333333
12,19,8,9,0.73,0.0811111111111111
12,19,9,8,0.56,0.07
12,41,0,1,1.37,1.37
12,41,1,8,10.35,1.29375
12,41,2,17,18.04,1.0611764705882352
12,41,3,4,3.71,0.9275
12,41,4,10,8.88,0.8880000000000001
12,41,5,17,13.35,0.7852941176470588
12,41,6,7,5.16,0.7371428571428572
12,41,7,10,6.46,0.646
12,41,8,6,2.48,0.41333333333333333
12,41,9,2,0.15,0.075
12,46,0,12,12.5,1.0416666666666667
12,46,1,13,13.39,1.03
12,46,2,18,16.05,0.8916666666666667
12,46,3,10,7.42,0.742
12,46,4,14,9.95,0.7107142857142856
12,46,5,9,4.33,0.4811111111111111
12,46,6,5,2.27,0.454
12,46,7,8,3.13,0.39125
12,46,8,2,0.26,0.13
12,46,9,5,0.28,0.05600000000000001
12,50,0,2,15.65,7.825
12,50,1,12,93.52,7.793333333333333
12,50,2,13,92.1,7.084615384615384
12,50,3,10,49.74,4.974
12,50,4,18,51.05,2.836111111111111
12,50,5,10,20.16,2.016
12,50,6,6,9.28,1.5466666666666666
12,50,7,10,6.75,0.675
12,50,8,15,5.28,0.35200000000000004
12,50,9,6,1.99,0.33166666666666667
12,68,0,17,34.69,2.0405882352941176
12,68,1,5,7.97,1.5939999999999999
