fromnode,tonode,clientID,a,budget,clientRatio
8,15,0,15,20.11,1.3406666666666667
8,15,1,15,19.84,1.3226666666666667
8,15,2,4,5.09,1.2725
8,15,3,1,1.26,1.26
8,15,4,16,17.32,1.0825
8,15,5,14,14.49,1.035
8,15,6,9,9.26,1.028888888888889
8,15,7,1,0.99,0.99
8,15,8,13,12.77,0.9823076923076923
8,15,9,8,7.75,0.96875
8,15,10,16,14.96,0.935
8,15,11,8,6.83,0.85375
8,15,12,5,4.12,0.8240000000000001
8,15,13,13,8.32,0.64
8,15,14,3,1.2,0.39999999999999997
8,15,15,18,6.67,0.3705555555555555
8,15,16,17,6.04,0.3552941176470588
8,15,17,7,1.28,0.18285714285714286
8,15,18,1,0.09,0.09
8,15,19,18,1.24,0.06888888888888889
8,17,0,19,25.18,1.325263157894737
8,17,1,17,21.71,1.2770588235294118
8,17,2,18,22.65,1.2583333333333333
8,17,3,11,13.46,1.2236363636363636
8,17,4,16,18.55,1.159375
8,17,5,10,9.73,0.9730000000000001
8,17,6,6,4.41,0.735
8,17,7,14,10.04,0.7171428571428571
8,17,8,2,1.36,0.68
8,17,9,1,0.67,0.67
8,17,10,1,0.6,0.6
8,17,11,13,7.74,0.5953846153846154
8,17,12,17,9.66,0.5682352941176471
8,17,13,13,7.0,0.5384615384615384
8,17,14,6,3.2,0.5333333333333333
8,17,15,7,3.15,0.45
8,17,16,4,1.19,0.2975
8,17,17,10,2.12,0.21200000000000002
8,17,18,17,3.32,0.1952941176470588
8,17,19,12,2.01,0.16749999999999998
8,32,0,20,90.61,4.5305
8,32,1,7,31.2,4.457142857142857
8,32,2,18,78.53,4.362777777777778
8,32,3,17,65.61,3.8594117647058823
8,32,4,17,63.16,3.7152941176470584
8,32,5,1,3.68,3.68
8,32,6,9,28.61,3.178888888888889
8,32,7,13,40.62,3.1246153846153844
8,32,8,20,57.59,2.8795
8,32,9,12,33.29,2.7741666666666664
8,32,10,1,2.63,2.63
8,32,11,6,14.8,2.466666666666667
8,32,12,14,33.44,2.3885714285714283
8,32,13,2,4.74,2.37
8,32,14,7,14.85,2.1214285714285714
8,32,15,12,24.83,2.0691666666666664
8,32,16,1,1.93,1.93
8,32,17,19,34.04,1.791578947368421
8,32,18,17,29.73,1.7488235294117647
8,32,19,18,22.36,1.2422222222222221
8,57,0,6,24.59,4.098333333333334
8,57,1,1,3.84,3.84
8,57,2,4,15.24,3.81
8,57,3,18,68.56,3.808888888888889
8,57,4,20,75.21,3.7604999999999995
8,57,5,6,19.03,3.171666666666667
8,57,6,6,16.14,2.69
8,57,7,9,23.26,2.5844444444444448
8,57,8,11,26.88,2.4436363636363634
8,57,9,11,24.97,2.27
8,57,10,10,22.54,2.254
8,57,11,1,2.25,2.25
8,57,12,6,10.52,1.7533333333333332
8,57,13,13,22.73,1.7484615384615385
8,57,14,7,9.54,1.3628571428571428
8,57,15,9,11.9,1.3222222222222222
8,57,16,3,2.85,0.9500000000000001
8,57,17,3,1.7,0.5666666666666667
8,57,18,9,3.03,0.33666666666666667
8,57,19,4,1.19,0.2975
8,60,0,17,72.96,4.291764705882352
