fromnode,tonode,c
1,1,0.0
1,8,0.288
1,16,0.759
1,24,0.725
1,29,1.622
1,30,1.021
1,33,1.932
1,47,0.954
1,60,1.151
1,69,1.124
1,70,0.208
1,74,0.141
1,75,0.543
1,77,0.198
1,80,0.91
8,1,0.288
8,8,0.0
8,16,0.472
8,24,0.438
8,29,1.503
8,30,0.91
8,33,1.742
8,47,0.666
8,60,0.878
8,69,0.846
8,70,0.096
8,74,0.328
8,75,0.255
8,77,0.277
8,80,0.737
16,1,0.759
16,8,0.472
16,16,0.0
16,24,0.095
16,29,1.459
16,30,0.957
16,33,1.539
16,47,0.195
16,60,0.506
16,69,0.453
16,70,0.555
16,74,0.771
16,75,0.217
16,77,0.717
16,80,0.705
24,1,0.725
24,8,0.438
24,16,0.095
24,24,0.0
24,29,1.372
24,30,0.863
24,33,1.473
24,47,0.244
24,60,0.473
24,69,0.428
24,70,0.528
24,74,0.754
24,75,0.188
24,77,0.66
24,80,0.613
29,1,1.622
29,8,1.503
29,16,1.459
29,24,1.372
29,29,0.0
29,30,0.602
29,33,0.555
29,47,1.46
29,60,1.127
29,69,1.186
29,70,1.575
29,74,1.75
29,75,1.447
29,77,1.425
29,80,0.781
30,1,1.021
30,8,0.91
30,16,0.957
30,24,0.863
30,29,0.602
30,30,0.0
30,33,0.973
30,47,1.018
30,60,0.807
30,69,0.844
30,70,0.978
30,74,1.148
30,75,0.892
30,77,0.825
30,80,0.26
33,1,1.932
33,8,1.742
33,16,1.539
33,24,1.473
33,29,0.555
33,30,0.973
33,33,0.0
33,47,1.467
33,60,1.076
33,69,1.14
33,70,1.83
33,74,2.04
33,75,1.607
33,77,1.749
33,80,1.022
47,1,0.954
47,8,0.666
47,16,0.195
47,24,0.244
47,29,1.46
47,30,1.018
47,33,1.467
47,47,0.0
47,60,0.394
47,69,0.331
47,70,0.749
47,74,0.965
47,75,0.411
47,77,0.903
47,80,0.759
60,1,1.151
60,8,0.878
60,16,0.506
60,24,0.473
60,29,1.127
60,30,0.807
60,33,1.076
60,47,0.394
60,60,0.0
60,69,0.064
60,70,0.974
60,74,1.205
60,75,0.653
60,77,1.036
60,80,0.568
69,1,1.124
69,8,0.846
69,16,0.453
69,24,0.428
69,29,1.186
69,30,0.844
69,33,1.14
69,47,0.331
69,60,0.064
69,69,0.0
69,70,0.941
69,74,1.171
69,75,0.613
69,77,1.018
69,80,0.598
70,1,0.208
70,8,0.096
70,16,0.555
70,24,0.528
70,29,1.575
70,30,0.978
70,33,1.83
70,47,0.749
70,60,0.974
70,69,0.941
70,70,0.0
70,74,0.231
70,75,0.342
70,77,0.259
70,80,0.82
74,1,0.141
74,8,0.328
74,16,0.771
74,24,0.754
74,29,1.75
74,30,1.148
74,33,2.04
74,47,0.965
74,60,1.205
74,69,1.171
74,70,0.231
74,74,0.0
74,75,0.566
74,77,0.333
74,80,1.02
75,1,0.543
75,8,0.255
75,16,0.217
75,24,0.188
75,29,1.447
75,30,0.892
75,33,1.607
75,47,0.411
75,60,0.653
75,69,0.613
75,70,0.342
75,74,0.566
75,75,0.0
75,77,0.503
75,80,0.667
77,1,0.198
77,8,0.277
77,16,0.717
77,24,0.66
77,29,1.425
77,30,0.825
77,33,1.749
77,47,0.903
77,60,1.036
77,69,1.018
77,70,0.259
77,74,0.333
77,75,0.503
77,77,0.0
77,80,0.729
80,1,0.91
80,8,0.737
80,16,0.705
80,24,0.613
80,29,0.781
80,30,0.26
80,33,1.022
80,47,0.759
80,60,0.568
80,69,0.598
80,70,0.82
80,74,1.02
80,75,0.667
80,77,0.729
80,80,0.0
