fromnode,tonode,c
0,0,0.0
0,2,1.426
0,4,0.528
0,10,1.035
0,18,0.394
0,25,0.099
0,33,1.519
0,34,0.104
0,40,0.343
0,47,0.724
0,52,0.728
0,60,0.801
0,62,0.435
0,73,2.078
0,75,0.376
0,84,2.045
0,93,1.74
0,94,0.847
0,97,0.984
0,98,0.885
2,0,1.426
2,2,0.0
2,4,1.269
2,10,0.813
2,18,1.449
2,25,1.343
2,33,0.223
2,34,1.504
2,40,1.499
2,47,1.484
2,52,0.816
2,60,1.107
2,62,1.122
2,73,1.111
2,75,1.565
2,84,0.629
2,93,0.322
2,94,0.608
2,97,1.671
2,98,0.542
4,0,0.528
4,2,1.269
4,4,0.0
4,10,0.619
4,18,0.227
4,25,0.446
4,33,1.283
4,34,0.626
4,40,0.306
4,47,0.276
4,52,0.453
4,60,0.302
4,62,0.214
4,73,2.172
4,75,0.356
4,84,1.891
4,93,1.541
4,94,0.674
4,97,0.545
4,98,0.781
10,0,1.035
10,2,0.813
10,4,0.619
10,10,0.0
10,18,0.844
10,25,0.936
10,33,0.745
10,34,1.137
10,40,0.919
10,47,0.741
10,52,0.345
10,60,0.349
10,62,0.602
10,73,1.884
10,75,0.974
10,84,1.38
10,93,1.014
10,94,0.443
10,97,0.877
10,98,0.566
18,0,0.394
18,2,1.449
18,4,0.227
18,10,0.844
18,18,0.0
18,25,0.346
18,33,1.484
18,34,0.475
18,40,0.082
18,47,0.333
18,52,0.642
18,60,0.527
18,62,0.329
18,73,2.282
18,75,0.13
18,84,2.077
18,93,1.736
18,94,0.843
18,97,0.59
18,98,0.933
25,0,0.099
25,2,1.343
25,4,0.446
25,10,0.936
25,18,0.346
25,25,0.0
25,33,1.429
25,34,0.202
25,40,0.313
25,47,0.663
25,52,0.629
25,60,0.709
25,62,0.337
25,73,2.034
25,75,0.361
25,84,1.965
25,93,1.654
25,94,0.755
25,97,0.931
25,98,0.801
33,0,1.519
33,2,0.223
33,4,1.283
33,10,0.745
33,18,1.484
33,25,1.429
33,33,0.0
33,34,1.605
33,40,1.542
33,47,1.467
33,52,0.843
33,60,1.076
33,62,1.168
33,73,1.288
33,75,1.607
33,84,0.635
33,93,0.269
33,94,0.673
33,97,1.623
33,98,0.649
34,0,0.104
34,2,1.504
34,4,0.626
34,10,1.137
34,18,0.475
34,25,0.202
34,33,1.605
34,34,0.0
34,40,0.416
