fromnode,tonode,c
3,3,0.0
3,4,0.692
3,7,2.381
3,10,1.279
3,11,0.12
3,20,0.647
3,21,0.503
3,22,0.335
3,27,1.288
3,29,1.551
3,30,0.952
3,32,0.938
3,34,0.265
3,39,0.543
3,40,0.398
3,46,0.995
3,47,0.787
3,48,1.021
3,50,2.161
3,54,0.577
3,55,0.736
3,56,0.882
3,59,0.948
3,62,0.685
3,64,0.077
3,65,0.262
3,67,1.068
3,69,0.963
3,74,0.222
3,77,0.206
3,81,2.491
3,85,2.499
3,86,2.343
3,87,1.166
3,90,0.173
3,93,2.05
3,94,1.149
3,95,0.172
3,96,0.155
3,98,1.196
4,3,0.692
4,4,0.0
4,7,1.969
4,10,0.619
4,11,0.749
4,20,0.597
4,21,0.373
4,22,0.559
4,27,0.707
4,29,1.208
4,30,0.743
4,32,0.998
4,34,0.626
4,39,0.64
4,40,0.306
4,46,0.341
4,47,0.276
4,48,0.681
4,50,1.749
4,54,0.321
4,55,0.707
4,56,0.332
4,59,0.906
4,62,0.214
4,64,0.755
4,65,0.516
4,67,0.821
4,69,0.272
4,74,0.903
4,77,0.749
4,81,2.11
4,85,2.141
4,86,2.182
4,87,0.552
4,90,0.793
4,93,1.541
4,94,0.674
4,95,0.818
4,96,0.54
4,98,0.781
7,3,2.381
7,4,1.969
7,7,0.0
7,10,1.502
7,11,2.346
7,20,1.739
7,21,1.901
7,22,2.048
7,27,1.296
7,29,0.832
7,30,1.434
7,32,1.596
7,34,2.13
7,39,1.859
7,40,2.2
7,46,1.674
7,47,2.189
7,48,1.367
7,50,0.223
7,54,1.847
7,55,1.669
7,56,1.638
7,59,1.506
7,62,1.811
7,64,2.457
7,65,2.378
7,67,1.316
7,69,1.874
7,74,2.582
7,77,2.257
7,81,0.171
7,85,0.247
7,86,0.849
7,87,1.46
7,90,2.336
7,93,0.519
7,94,1.299
7,95,2.4
7,96,2.299
7,98,1.21
10,3,1.279
10,4,0.619
10,7,1.502
10,10,0.0
10,11,1.312
10,20,0.893
10,21,0.823
10,22,1.049
10,27,0.251
10,29,0.914
10,30,0.799
10,32,1.169
10,34,1.137
10,39,1.008
10,40,0.919
10,46,0.285
10,47,0.741
10,48,0.633
10,50,1.295
10,54,0.739
10,55,0.946
10,56,0.424
10,59,1.031
10,62,0.602
10,64,1.349
10,65,1.133
10,67,0.79
10,69,0.41
10,74,1.499
10,77,1.281
10,81,1.662
10,85,1.712
10,86,1.93
10,87,0.172
10,90,1.343
10,93,1.014
10,94,0.443
10,95,1.345
10,96,1.136
10,98,0.566
11,3,0.12
11,4,0.749
11,7,2.346
11,10,1.312
11,11,0.0
11,20,0.607
11,21,0.506
11,22,0.304
11,27,1.299
11,29,1.514
11,30,0.912
11,32,0.861
11,34,0.216
11,39,0.49
11,40,0.472
11,46,1.032
11,47,0.871
11,48,0.999
11,50,2.128
11,54,0.586
11,55,0.683
11,56,0.902
11,59,0.884
11,62,0.711
11,64,0.145
11,65,0.366
11,67,1.029
11,69,1.021
11,74,0.236
11,77,0.107
11,81,2.449
11,85,2.454
11,86,2.271
11,87,1.188
11,90,0.063
11,93,2.035
11,94,1.144
11,95,0.071
11,96,0.238
11,98,1.179
20,3,0.647
20,4,0.597
20,7,1.739
20,10,0.893
20,11,0.607
20,20,0.0
20,21,0.254
20,22,0.312
20,27,0.79
20,29,0.907
20,30,0.306
20,32,0.407
20,34,0.391
20,39,0.134
20,40,0.58
20,46,0.672
20,47,0.86
20,48,0.407
20,50,1.521
20,54,0.277
20,55,0.118
20,56,0.485
20,59,0.344
20,62,0.401
20,64,0.721
20,65,0.707
20,67,0.423
20,69,0.787
20,74,0.843
20,77,0.522
20,81,1.845
20,85,1.853
20,86,1.73
20,87,0.731
20,90,0.601
20,93,1.441
20,94,0.587
20,95,0.638
20,96,0.591
20,98,0.591
21,3,0.503
21,4,0.373
21,7,1.901
21,10,0.823
21,11,0.506
21,20,0.254
21,21,0.0
21,22,0.226
21,27,0.793
21,29,1.081
21,30,0.505
21,32,0.659
21,34,0.315
21,39,0.268
21,40,0.33
21,46,0.555
21,47,0.619
21,48,0.533
21,50,1.678
21,54,0.083
21,55,0.373
21,56,0.402
21,59,0.596
21,62,0.23
21,64,0.579
21,65,0.485
21,67,0.614
21,69,0.608
21,74,0.722
21,77,0.461
21,81,2.021
21,85,2.036
21,86,1.964
21,87,0.687
21,90,0.527
21,93,1.549
21,94,0.646
21,95,0.561
21,96,0.4
21,98,0.699
22,3,0.335
22,4,0.559
22,7,2.048
22,10,1.049
22,11,0.304
22,20,0.312
22,21,0.226
22,22,0.0
22,27,1.01
22,29,1.217
22,30,0.617
22,32,0.637
22,34,0.093
22,39,0.216
22,40,0.383
22,46,0.78
22,47,0.761
22,48,0.696
22,50,1.829
22,54,0.31
22,55,0.405
22,56,0.628
22,59,0.624
22,62,0.453
22,64,0.41
22,65,0.434
22,67,0.733
22,69,0.816
22,74,0.536
22,77,0.239
22,81,2.156
22,85,2.164
22,86,2.023
22,87,0.91
22,90,0.312
22,93,1.731
22,94,0.843
22,95,0.347
22,96,0.297
22,98,0.875
27,3,1.288
27,4,0.707
27,7,1.296
27,10,0.251
27,11,1.299
27,20,0.79
27,21,0.793
27,22,1.01
27,27,0.0
27,29,0.664
27,30,0.621
27,32,0.994
27,34,1.102
27,39,0.918
27,40,0.976
27,46,0.383
27,47,0.897
27,48,0.448
27,50,1.081
27,54,0.714
27,55,0.813
27,56,0.41
27,59,0.85
27,62,0.61
27,64,1.363
27,65,1.19
27,67,0.585
27,69,0.578
27,74,1.51
27,77,1.249
27,81,1.449
27,85,1.493
27,86,1.681
27,87,0.164
27,90,1.319
27,93,0.839
27,94,0.234
27,95,1.353
27,96,1.161
27,98,0.335
29,3,1.551
29,4,1.208
29,7,0.832
29,10,0.914
29,11,1.514
29,20,0.907
29,21,1.081
29,22,1.217
29,27,0.664
29,29,0.0
29,30,0.602
29,32,0.803
29,34,1.298
29,39,1.027
29,40,1.381
29,46,0.973
29,47,1.46
29,48,0.552
29,50,0.616
29,54,1.034
29,55,0.838
29,56,0.88
29,59,0.693
29,62,1.023
29,64,1.627
29,65,1.564
29,67,0.484
29,69,1.186
29,74,1.75
29,77,1.425
29,81,0.941
29,85,0.956
29,86,1.02
29,87,0.797
29,90,1.505
29,93,0.627
29,94,0.549
29,95,1.541
29,96,1.476
29,98,0.428
30,3,0.952
30,4,0.743
30,7,1.434
30,10,0.799
30,11,0.912
30,20,0.306
30,21,0.505
30,22,0.617
30,27,0.621
30,29,0.602
30,30,0.0
30,32,0.374
30,34,0.697
30,39,0.428
30,40,0.829
30,46,0.666
30,47,1.018
30,48,0.174
30,50,1.216
30,54,0.481
30,55,0.247
30,56,0.489
30,59,0.232
30,62,0.53
30,64,1.026
30,65,0.988
